Node_x,Node_y,110394ab_실제거리,110394ab_중간값,110394ab_오차율(%),e63ce2f_실제거리,e63ce2f_중간값,e63ce2f_오차율(%),8e610981_실제거리,8e610981_중간값,8e610981_오차율(%),d10485af_실제거리,d10485af_중간값,d10485af_오차율(%),d1044709(식별잘안됨)_실제거리,d1044709(식별잘안됨)_중간값,d1044709(식별잘안됨)_오차율(%),4e610206_실제거리,4e610206_중간값,4e610206_오차율(%),SW_first_team_실제거리,SW_first_team_중간값,SW_first_team_오차율(%),SW_4_실제거리,SW_4_중간값,SW_4_오차율(%),SW_5_실제거리,SW_5_중간값,SW_5_오차율(%),SW_6_실제거리,SW_6_중간값,SW_6_오차율(%),SW_11_실제거리,SW_11_중간값,SW_11_오차율(%),볼링공_실제거리,볼링공_중간값,볼링공_오차율(%)
19,29,30.806,,,22.023,5.71,74.07256050492667,19.799,8.31,58.02818324157786,15.133,15.49,2.359082799180606,15.524,1.69,89.11363050760114,7.071,4.09,42.158110592561165,22.023,13.53,38.5642283067702,15.133,10.96,27.575497257648834,7.071,4.52,36.07693395559327,15.524,9.49,38.86884823499098,30.806,19.73,35.95403492826073,19.799,12.51,36.81499065609374
20,0,19.416,15.54,19.962917181705816,7.0,3.23,53.85714285714286,21.213,8.55,59.69452694102672,31.385,15.38,50.99569858212523,14.866,1.67,88.76631239069016,24.739,,,7.0,4.64,33.71428571428572,31.385,26.82,14.545164887685203,24.739,16.17,34.63761671854157,14.866,10.17,31.588860487017357,19.416,20.0,3.007828594973216,21.213,13.31,37.255456559656814
2,6,19.416,2.88,85.16687268232386,7.0,,,21.213,0.56,97.36010936689766,31.385,5.6,82.15708140831607,14.866,1.11,92.53329745728507,24.739,8.4,66.04551517846315,7.0,11.26,60.857142857142854,31.385,13.69,56.380436514258406,24.739,13.85,44.01552205020414,14.866,10.84,27.08193192519844,19.416,1.67,91.39884631231975,21.213,6.26,70.48979399424881
3,0,19.416,5.28,72.80593325092707,7.0,,,21.213,4.94,76.71239334370433,31.385,1.03,96.71817747331527,14.866,0.34,97.7129019238531,24.739,10.77,56.46549981810097,7.0,11.83,69.0,31.385,19.28,38.569380277202484,24.739,16.89,31.727232305266988,14.866,11.46,22.911341315754065,19.416,2.89,85.11536876802637,21.213,10.63,49.88921887521803
4,15,19.416,3.88,80.0164812525752,7.0,,,21.213,0.22,98.9629001084241,31.385,,,14.866,9.16,38.38288712498318,24.739,10.5,57.55689397307895,7.0,10.87,55.28571428571427,31.385,8.31,73.52238330412618,24.739,8.74,64.67116698330571,14.866,10.52,29.234494820395536,19.416,7.84,59.6209311907705,21.213,0.77,96.37015037948427
5,5,2.236,5.75,157.1556350626118,18.028,,,9.487,1.61,83.02940866448824,21.095,,,15.264,2.44,84.01467505241091,21.633,8.71,59.73743817316137,18.028,15.95,11.526514311071665,21.095,14.71,30.267835980090062,21.633,13.12,39.35191605417649,15.264,9.56,37.36897274633123,2.236,2.77,23.881932021466895,9.487,6.67,29.693264467165598
5,25,4.472,,,18.385,6.24,66.05928746260538,15.133,8.38,44.62433093239939,27.019,,,18.439,1.68,90.88887683713868,26.401,5.42,79.47047460323473,18.385,15.53,15.528963829208605,27.019,1.76,93.48606536141233,26.401,6.49,75.41759781826447,18.439,9.27,49.72612397635447,4.472,13.46,200.9838998211091,15.133,6.81,54.99900878873984
10,20,11.402,5.36,52.990703385370985,17.889,,,1.0,3.71,271.0,12.0,,,11.045,,,13.454,3.75,72.12724840196223,17.889,11.14,37.72709486276482,12.0,6.58,45.166666666666664,13.454,3.89,71.0866656756355,11.045,5.98,45.85785423268447,11.402,12.35,8.31433081915454,1.0,4.53,353.0
15,20,11.402,7.51,34.13436239256271,17.889,,,1.0,6.52,552.0,12.0,,,11.045,1.6,85.51380715255772,13.454,2.2,83.64798572915119,17.889,9.37,47.62144334507239,12.0,8.37,30.250000000000004,13.454,2.72,79.78296417422328,11.045,4.19,62.064282480760525,11.402,15.02,31.73127521487459,1.0,7.66,666.0
17,8,4.123,,,15.133,2.88,80.96874380492963,10.0,8.46,15.399999999999991,22.023,,,13.454,1.71,87.29002527129478,21.024,9.51,54.76598173515982,15.133,2.41,84.07453908676402,22.023,19.41,11.864868546519546,21.024,10.16,51.67427701674278,13.454,4.06,69.82310093652447,4.123,11.24,172.6170264370604,10.0,8.79,12.100000000000009
2,2,4.123,1.2,70.89497938394372,15.133,11.92,21.231745192625382,10.0,9.01,9.900000000000002,22.023,6.51,70.43999455115107,13.454,0.19,98.58778058569942,21.024,,,15.133,11.84,21.760391198044008,22.023,15.52,29.528220496753395,21.024,15.37,26.893074581430753,13.454,11.46,14.820871116396608,4.123,1.53,62.89109871452825,10.0,8.43,15.700000000000003
3,15,4.123,6.61,60.32015522677662,15.133,,,10.0,1.18,88.2,22.023,0.06,99.72755755346684,13.454,9.78,27.307863832317537,21.024,,,15.133,12.11,19.97621092975616,22.023,7.84,64.40085365299913,21.024,8.97,57.33447488584474,13.454,10.23,23.963133640552996,4.123,7.38,78.99587678874605,10.0,1.57,84.3
4,28,4.123,7.42,79.96604414261459,15.133,,,10.0,8.72,12.799999999999995,22.023,0.36,98.36534532080098,13.454,8.7,35.33521629255241,21.024,6.44,69.3683409436834,15.133,17.07,12.799841406198384,22.023,1.11,94.95981473913636,21.024,7.24,65.56316590563166,13.454,11.39,15.341162479559983,4.123,14.91,261.6298811544991,10.0,8.13,18.699999999999992
5,8,4.123,3.19,22.629153528983757,15.133,9.05,40.19692063701843,10.0,3.86,61.40000000000001,22.023,2.53,88.51201017118467,13.454,8.71,35.26088895495763,21.024,,,15.133,11.4,24.667944227846423,22.023,13.63,38.11015756254824,21.024,11.5,45.30060882800609,13.454,7.67,42.99093206481344,4.123,3.76,8.804268736357033,10.0,4.76,52.400000000000006
6,22,4.123,13.4,225.0060635459617,15.133,14.1,6.826141544967948,10.0,4.36,56.39999999999999,22.023,1.18,94.64196521818099,13.454,6.87,48.93711907239483,21.024,9.73,53.71955859969558,15.133,14.77,2.3987312495869926,22.023,3.78,82.83612586841029,21.024,5.72,72.79299847793,13.454,7.68,42.916604727218676,4.123,12.03,191.77783167596408,10.0,4.74,52.6
10,25,21.378,6.93,67.58349705304518,23.431,,,10.0,,,2.236,3.15,40.87656529516993,14.866,7.32,50.76012377236647,9.055,3.63,59.911651021535064,23.431,13.39,42.853484699756734,2.236,5.15,130.32200357781753,9.055,3.02,66.64826062948647,14.866,7.72,48.06942015337011,21.378,14.53,32.03293105061278,10.0,7.38,26.200000000000003
15,9,21.378,8.77,58.97651791561419,23.431,1.09,95.34804319064487,10.0,3.44,65.60000000000001,2.236,,,14.866,3.31,77.73442755280506,9.055,8.72,3.699613473219206,23.431,3.65,84.42234646408605,2.236,15.9,611.0912343470483,9.055,9.82,8.448371065709559,14.866,3.21,78.40710345755414,21.378,10.15,52.52128356254093,10.0,7.75,22.5
17,16,21.378,13.0,39.189821311628776,23.431,2.06,91.2082284153472,10.0,14.62,46.19999999999999,2.236,6.9,208.58676207513415,14.866,1.43,90.38073456208798,9.055,14.84,63.88735505245721,23.431,6.08,74.05147027442277,2.236,11.04,393.7388193202146,9.055,5.92,34.62175593594699,14.866,2.14,85.60473563836943,21.378,12.53,41.38834315651605,10.0,7.89,21.1
18,3,21.378,9.75,54.39236598372158,23.431,2.32,90.09858734155605,10.0,8.36,16.400000000000006,2.236,,,14.866,8.47,43.024350867751906,9.055,,,23.431,3.35,85.70270154922964,2.236,19.34,764.9373881932021,9.055,13.21,45.88625069022641,14.866,7.47,49.751109915242836,21.378,10.62,50.32276171765366,10.0,11.37,13.699999999999992
