file,pipeline,step_A_RMSE_m,step_B_RMSE_m,step_C_RMSE_m,delta_RMSE_A_to_B_m,delta_RMSE_B_to_C_m,delta_RMSE_A_to_C_m,wifi_guide_RMSE_m,fusion_hardgate_RMSE_m,fusion_reweight_RMSE_m
v10_opt_run_summary,v10_opt_run_summary,,,,,,,,,
v10_run_summary,v10_run_summary,,,,,,,,,
v11_summary,v11_summary,,,,,,,,,
v12_fast2_summary,V12 Fast2,1.4280305151304404,1.6449039390035314,1.6232792383429693,-0.21687342387309094,0.0216247006605621,,,,
v12_fast_summary,V12 Fast,1.51037249944006,1.6081914407446434,1.6099295623473535,-0.09781894130458335,-0.001738121602710141,-0.09955706290729349,,,
v12_strict_parallel_summary,V12 Strict Parallel,1.51037249944006,1.6081914407446434,1.608563090233415,-0.09781894130458335,-0.0003716494887715527,-0.0981905907933549,,,
v12_strict_summary,V12 Strict,1.51037249944006,1.6081914407446434,1.608563090233415,-0.09781894130458335,-0.0003716494887715527,-0.0981905907933549,,,
v12_summary,v12_summary,1.5716031362024965,1.4466804779563518,1.4453084716212174,0.12492265824614468,0.0013720063351343459,0.12629466458127903,,,
v12_turbo_summary,V12 Turbo,1.51037249944006,1.4335034393588988,1.4407024676202052,0.07686906008116123,-0.007199028261306362,0.06967003181985487,,,
v13_fix_summary,V13-fix,1.4574181606014895,1.4117586966833613,1.4157431762938648,,,,,,
v13_summary,V13,1.4982067366921406,1.4375575349325178,1.4444177646013208,,,,,,
v14_summary,V14 Turbo+JWT,1.51037249944006,2.1928887020379815,2.2283403275543683,,,,,,
v15_summary,V15,,,,,,,1.5743010090062746,1.4616300195806111,1.4745698038692765
v16_summary,V16,,,,,,,1.6238336303614436,1.8272458465199055,1.8479525994908923
v9_strict_summary,V9 Strict,1.5538430048090894,1.6235733558357326,,,,,,,
