sensor,custom_bias_m,robust_bias_m,delta_robust_minus_custom_m
110394ab,0.32086,-1.926661530556787,-2.247521530556787
4e610206,0.153311,-0.607354648979129,-0.760665648979129
8e610981,0.093391,-0.5155262752974139,-0.6089172752974139
SW_11,0.0478,0.4973009599399098,0.4495009599399098
SW_4,-0.0591,0.4482327856518928,0.5073327856518928
SW_5,0.2164,0.2768197477764218,0.06041974777642181
SW_6,0.1039,0.2626219154077995,0.1587219154077995
SW_first_team,-0.104,0.4399999999999995,0.5439999999999995
d1044709,-0.035293,-0.9961387327334212,-0.9608457327334212
d10485af,0.042868,-2.0510988842807025,-2.0939668842807024
e63ce2f,-0.190428,-3.6430428862431783,-3.4526148862431785
볼링공,0.2992,0.307391342756298,0.008191342756297959
