huber_f_scale,calibration_kind,calibration_detail,huber_eps,huber_alpha,ransac_rt,feat_mode,val_StepB_RMSE_m,val_StepB_MAE_m
0.95,identity,identity,,,,raw,1.5603607047510808,1.1227541654266424
0.95,huber,huber_eps1.2_a1e-05,1.2,1e-05,,raw,1.6274792341903854,1.2493686808058873
0.95,huber,huber_eps1.2_a0.0005,1.2,0.0005,,raw,1.6274794323948154,1.2493690237325135
0.95,huber,huber_eps1.45_a1e-05,1.45,1e-05,,raw,1.6570605967753071,1.2827749142015907
0.95,huber,huber_eps1.45_a0.0005,1.45,0.0005,,raw,1.6570607636742247,1.2827751554276243
0.95,ransac,ransac,,,3.5,raw,1.6537629984143125,1.3004340367890816
0.95,ransac,ransac,,,6.0,raw,1.7520406608760384,1.4127417156917417
0.95,identity,identity,,,,bias_sub,1.5603607047510808,1.1227541654266424
0.95,huber,huber_eps1.2_a1e-05,1.2,1e-05,,bias_sub,1.627479741092865,1.249367575307095
0.95,huber,huber_eps1.2_a0.0005,1.2,0.0005,,bias_sub,1.6274799278404521,1.249367906396425
0.95,huber,huber_eps1.45_a1e-05,1.45,1e-05,,bias_sub,1.6570608122193433,1.2827750998612193
0.95,huber,huber_eps1.45_a0.0005,1.45,0.0005,,bias_sub,1.657060963156979,1.2827753316242005
0.95,ransac,ransac,,,3.5,bias_sub,1.6537630056596573,1.3004340409161597
0.95,ransac,ransac,,,6.0,bias_sub,1.7520406746810062,1.412741725657229
1.0,identity,identity,,,,raw,1.5594792443463001,1.123203631297673
1.0,huber,huber_eps1.2_a1e-05,1.2,1e-05,,raw,1.6229795945105936,1.2429657846911943
1.0,huber,huber_eps1.2_a0.0005,1.2,0.0005,,raw,1.6229797861481163,1.2429661046593208
1.0,huber,huber_eps1.45_a1e-05,1.45,1e-05,,raw,1.6517279651587682,1.2758984601641172
1.0,huber,huber_eps1.45_a0.0005,1.45,0.0005,,raw,1.6517281336157554,1.2758987052368633
1.0,ransac,ransac,,,3.5,raw,1.6501229426521833,1.2966551526130667
1.0,ransac,ransac,,,6.0,raw,1.7463993852575699,1.4047060421232076
1.0,identity,identity,,,,bias_sub,1.5594792443463001,1.123203631297673
1.0,huber,huber_eps1.2_a1e-05,1.2,1e-05,,bias_sub,1.622979832352525,1.2429641403769869
1.0,huber,huber_eps1.2_a0.0005,1.2,0.0005,,bias_sub,1.6229800370011644,1.2429644701690175
1.0,huber,huber_eps1.45_a1e-05,1.45,1e-05,,bias_sub,1.651728170239478,1.2758986982596943
1.0,huber,huber_eps1.45_a0.0005,1.45,0.0005,,bias_sub,1.6517283387388892,1.2758989398890914
1.0,ransac,ransac,,,3.5,bias_sub,1.6501229399824686,1.296655155072299
1.0,ransac,ransac,,,6.0,bias_sub,1.746399389072618,1.4047060447694186
1.35,identity,identity,,,,raw,1.556730767974795,1.132840880895823
1.35,huber,huber_eps1.2_a1e-05,1.2,1e-05,,raw,1.6290890942104834,1.250000825624352
1.35,huber,huber_eps1.2_a0.0005,1.2,0.0005,,raw,1.6290892758044415,1.250001105014079
1.35,huber,huber_eps1.45_a1e-05,1.45,1e-05,,raw,1.647395958349204,1.2713596321928644
1.35,huber,huber_eps1.45_a0.0005,1.45,0.0005,,raw,1.6473961238354469,1.2713598575231129
1.35,ransac,ransac,,,3.5,raw,1.6131035731743983,1.2519419305185309
1.35,ransac,ransac,,,6.0,raw,1.6744409392030912,1.3519811941970867
1.35,identity,identity,,,,bias_sub,1.556730767974795,1.132840880895823
1.35,huber,huber_eps1.2_a1e-05,1.2,1e-05,,bias_sub,1.6290879731869037,1.249997533654853
1.35,huber,huber_eps1.2_a0.0005,1.2,0.0005,,bias_sub,1.6290881656441463,1.2499978265053944
1.35,huber,huber_eps1.45_a1e-05,1.45,1e-05,,bias_sub,1.6473958357762915,1.2713595382726743
1.35,huber,huber_eps1.45_a0.0005,1.45,0.0005,,bias_sub,1.6473960056430386,1.2713597691906726
1.35,ransac,ransac,,,3.5,bias_sub,1.6131035692086457,1.251941927876183
1.35,ransac,ransac,,,6.0,bias_sub,1.674440936650059,1.351981191188101
