irls_residual_thresh_m,irls_max_iter,val_StepC_RMSE_m,val_StepC_MAE_m
1.4,2,1.5754674889781106,1.1343354283143954
1.4,3,1.5943171984627045,1.1545221730531727
1.75,2,1.5661463590634999,1.129720626156061
1.75,3,1.5761700978210742,1.1399141830160238
2.05,2,1.557651767177212,1.1276800419142743
2.05,3,1.5629053698608701,1.1305920472949293
2.4,2,1.5548678569287848,1.129038631739566
2.4,3,1.5564151572360836,1.1295548811248695
2.85,2,1.5550921953323367,1.1307645282804344
2.85,3,1.5554650986876706,1.1311400618070242
3.35,2,1.5549298882804872,1.1306297032626598
3.35,3,1.5551568321521996,1.1309493573612
3.95,2,1.5556535661610025,1.1311293624058691
3.95,3,1.5557998181759902,1.1312007859039244
