candidate_index,calib_kind,feat_mode,huber_f_wifi_calib,use_v3_xy,hf_wifi_v3,wifi_bias_v3,blend_calib_alpha,blend_hf_v3,blend_wifi_bias_v3,knn_residual_neighbors,train_CV_mean_RMSE_step_A_m,train_resub_RMSE_step_A_m
0,identity,bias_sub,1.0,False,1.35,2.5,,1.35,2.5,0,2.654941751959162,
1,identity,bias_sub,1.15,False,1.35,2.5,,1.35,2.5,0,2.649263820616464,
2,identity,bias_sub,1.35,False,1.35,2.5,,1.35,2.5,0,2.643400734788517,
3,huber,bias_sub,1.2,False,1.35,2.5,,1.35,2.5,0,2.617000094797715,
4,huber,bias_sub,1.0,False,1.35,2.5,,1.35,2.5,0,2.648122848090481,
5,huber,bias_sub,1.1,False,1.35,2.5,,1.35,2.5,0,2.6339960607310386,
6,huber,bias_sub,1.2,False,1.35,2.5,,1.35,2.5,0,2.6260576343195616,
7,huber,bias_sub,1.28,False,1.35,2.5,,1.35,2.5,0,2.6369918707443603,
8,huber,bias_sub,1.32,False,1.35,2.5,,1.35,2.5,0,2.6301172838332536,
9,huber,bias_sub,1.35,False,1.35,2.5,,1.35,2.5,0,2.633602185586448,
10,ransac,bias_sub,1.35,False,1.35,2.5,,1.35,2.5,0,2.643443065175956,
11,ransac,bias_sub,1.35,False,1.35,2.5,,1.35,2.5,0,2.641847265520183,
12,identity,bias_sub,1.35,False,1.35,2.5,0.2,1.35,2.5,0,2.6601104167853675,
13,identity,bias_sub,1.35,False,1.35,2.5,0.35,1.35,2.5,0,2.647577248974975,
14,identity,bias_sub,1.35,False,1.35,2.5,0.5,1.35,2.5,0,2.639309556715413,
15,identity,bias_sub,1.35,False,1.35,2.5,0.65,1.35,2.5,0,2.6353873656885076,
16,identity,bias_sub,1.35,False,1.35,2.5,0.8,1.35,2.5,0,2.63586680113961,
17,huber,bias_sub,1.35,False,1.35,2.5,0.2,1.35,2.5,0,2.6354309341654067,
18,huber,bias_sub,1.35,False,1.35,2.5,0.35,1.35,2.5,0,2.611543558842606,
19,huber,bias_sub,1.35,False,1.35,2.5,0.5,1.35,2.5,0,2.5983520183680158,
20,huber,bias_sub,1.35,False,1.35,2.5,0.65,1.35,2.5,0,2.596094573539725,
21,huber,bias_sub,1.35,False,1.35,2.5,0.8,1.35,2.5,0,2.6048671699793857,
22,huber,bias_sub,1.2,False,1.35,2.5,0.2,1.35,2.5,0,2.626962801321283,
23,huber,bias_sub,1.2,False,1.35,2.5,0.35,1.35,2.5,0,2.598305377150713,
24,huber,bias_sub,1.2,False,1.35,2.5,0.5,1.35,2.5,0,2.5818017063970595,2.597104859827229
25,huber,bias_sub,1.2,False,1.35,2.5,0.65,1.35,2.5,0,2.5777482270413206,
26,huber,bias_sub,1.2,False,1.35,2.5,0.8,1.35,2.5,0,2.5862611890859624,
27,identity,bias_sub,1.35,True,1.35,2.0,,1.35,2.5,0,2.6924176101695467,
28,identity,bias_sub,1.35,True,1.35,2.5,,1.35,2.5,0,2.683279351406064,
29,identity,bias_sub,1.35,True,1.35,3.0,,1.35,2.5,0,2.6759599028313046,
30,huber,bias_sub,1.35,True,1.35,2.0,,1.35,2.5,0,2.6924176101695467,
31,huber,bias_sub,1.35,True,1.35,2.5,,1.35,2.5,0,2.683279351406064,
32,huber,bias_sub,1.35,True,1.35,3.0,,1.35,2.5,0,2.6759599028313046,
