phaseA_rank,feat_mode,calib_kind,huber_f_wifi,gate_threshold_m,uwb_variance_inflate,huber_f_fusion,irls_residual_thresh_m,irls_max_iter,val_RMSE_B_m,val_RMSE_C_m,val_MAE_C_m
0,bias_sub,identity,1.35,1.25,10.0,1.0,2.2,2,1.5988386992504982,1.600161312725947,1.1822208961920546
0,bias_sub,identity,1.35,1.25,10.0,1.0,3.1,2,1.5988386992504982,1.6067122960124456,1.182732296290034
0,bias_sub,identity,1.35,1.25,10.0,1.35,2.2,2,1.5951399903615437,1.5858794381373895,1.1786830361319949
0,bias_sub,identity,1.35,1.25,10.0,1.35,3.1,2,1.5951399903615437,1.5936131010558756,1.1833822585651845
0,bias_sub,identity,1.35,1.25,24.0,1.0,2.2,2,1.5949507704622488,1.5965905706692418,1.1779297753871867
0,bias_sub,identity,1.35,1.25,24.0,1.0,3.1,2,1.5949507704622488,1.6027179540857341,1.1776378767293179
0,bias_sub,identity,1.35,1.25,24.0,1.35,2.2,2,1.590773280329097,1.5810676193606277,1.1716824018297722
0,bias_sub,identity,1.35,1.25,24.0,1.35,3.1,2,1.590773280329097,1.5885996087522094,1.176623918878691
0,bias_sub,identity,1.35,1.55,10.0,1.0,2.2,2,1.449990635664761,1.4634809596673688,1.1400859113033588
0,bias_sub,identity,1.35,1.55,10.0,1.0,3.1,2,1.449990635664761,1.4604060651255486,1.1392266404032012
0,bias_sub,identity,1.35,1.55,10.0,1.35,2.2,2,1.4466804779563518,1.446560534604714,1.1373964272401316
0,bias_sub,identity,1.35,1.55,10.0,1.35,3.1,2,1.4466804779563518,1.4453084716212174,1.1403329739225243
0,bias_sub,identity,1.35,1.55,24.0,1.0,2.2,2,1.6149146693162333,1.6258003298504784,1.1979202420252837
0,bias_sub,identity,1.35,1.55,24.0,1.0,3.1,2,1.6149146693162333,1.6241022754951402,1.1960594154406203
0,bias_sub,identity,1.35,1.55,24.0,1.35,2.2,2,1.6090153684225341,1.610288779768865,1.1922003521812738
0,bias_sub,identity,1.35,1.55,24.0,1.35,3.1,2,1.6090153684225341,1.6093555032146807,1.19487240797232
0,bias_sub,identity,1.35,1.9,10.0,1.0,2.2,2,1.4509007806823828,1.4650678538056456,1.1443358480127686
0,bias_sub,identity,1.35,1.9,10.0,1.0,3.1,2,1.4509007806823828,1.4615462351391268,1.1430217299788734
0,bias_sub,identity,1.35,1.9,10.0,1.35,2.2,2,1.4533057098886266,1.4545881300234875,1.146696099589139
0,bias_sub,identity,1.35,1.9,10.0,1.35,3.1,2,1.4533057098886266,1.4523839001890932,1.1490210518707777
0,bias_sub,identity,1.35,1.9,24.0,1.0,2.2,2,1.6185417815090837,1.6298331977757885,1.2047486123108848
0,bias_sub,identity,1.35,1.9,24.0,1.0,3.1,2,1.6185417815090837,1.6278775858960135,1.2025876141937237
0,bias_sub,identity,1.35,1.9,24.0,1.35,2.2,2,1.6180986081570765,1.620234999212549,1.2041691603180418
0,bias_sub,identity,1.35,1.9,24.0,1.35,3.1,2,1.6180986081570765,1.618789111298392,1.2064782777284284
0,bias_sub,identity,1.35,2.35,10.0,1.0,2.2,2,1.4687608505181826,1.4858848025712397,1.172296969042069
0,bias_sub,identity,1.35,2.35,10.0,1.0,3.1,2,1.4687608505181826,1.4811546688558144,1.1710146734335052
0,bias_sub,identity,1.35,2.35,10.0,1.35,2.2,2,1.4697699387284087,1.4766843574875645,1.1767384813811637
0,bias_sub,identity,1.35,2.35,10.0,1.35,3.1,2,1.4697699387284087,1.4727528425938488,1.178165226774007
0,bias_sub,identity,1.35,2.35,24.0,1.0,2.2,2,1.6325260105347625,1.6485591563081388,1.230303150278882
0,bias_sub,identity,1.35,2.35,24.0,1.0,3.1,2,1.6325260105347625,1.64664831115517,1.2289018669132499
0,bias_sub,identity,1.35,2.35,24.0,1.35,2.2,2,1.636490022806384,1.6425558949960948,1.233914036449962
0,bias_sub,identity,1.35,2.35,24.0,1.35,3.1,2,1.636490022806384,1.6405484047611465,1.2359869160890333
0,bias_sub,identity,1.35,2.95,10.0,1.0,2.2,2,1.4725620850276844,1.496734772343799,1.2044998989550972
0,bias_sub,identity,1.35,2.95,10.0,1.0,3.1,2,1.4725620850276844,1.4883409124341214,1.2022650578466152
0,bias_sub,identity,1.35,2.95,10.0,1.35,2.2,2,1.4746485738599853,1.495677504611917,1.2189800310932817
0,bias_sub,identity,1.35,2.95,10.0,1.35,3.1,2,1.4746485738599853,1.4841323604772967,1.2165234701559602
0,bias_sub,identity,1.35,2.95,24.0,1.0,2.2,2,1.7433744298700453,1.7848491086259712,1.3123631284863122
0,bias_sub,identity,1.35,2.95,24.0,1.0,3.1,2,1.7433744298700453,1.7723969105988675,1.3089614641470793
0,bias_sub,identity,1.35,2.95,24.0,1.35,2.2,2,1.6372856980617378,1.6546068742792681,1.2605713452489458
0,bias_sub,identity,1.35,2.95,24.0,1.35,3.1,2,1.6372856980617378,1.6464337464632148,1.2584556766957045
1,bias_sub,identity,1.0,1.25,10.0,1.0,2.2,2,1.5993430483897193,1.600715599874566,1.1829555803113472
1,bias_sub,identity,1.0,1.25,10.0,1.0,3.1,2,1.5993430483897193,1.6072498249374636,1.1834477591496937
1,bias_sub,identity,1.0,1.25,10.0,1.35,2.2,2,1.5956034241998247,1.5864388613495666,1.1794174028599096
1,bias_sub,identity,1.0,1.25,10.0,1.35,3.1,2,1.5956034241998247,1.5941317469499128,1.1840641296500218
1,bias_sub,identity,1.0,1.25,24.0,1.0,2.2,2,1.5951757230146255,1.5968351173967419,1.1782477252841388
1,bias_sub,identity,1.0,1.25,24.0,1.0,3.1,2,1.5951757230146255,1.6029564374822305,1.1779493258859566
1,bias_sub,identity,1.0,1.25,24.0,1.35,2.2,2,1.590980103971023,1.5813149575847707,1.1720006458877672
1,bias_sub,identity,1.0,1.25,24.0,1.35,3.1,2,1.590980103971023,1.58883008709743,1.1769212830194404
1,bias_sub,identity,1.0,1.55,10.0,1.0,2.2,2,1.453137912784833,1.4664477128774156,1.1413997966997707
1,bias_sub,identity,1.0,1.55,10.0,1.0,3.1,2,1.453137912784833,1.463454431330691,1.1405774958728232
1,bias_sub,identity,1.0,1.55,10.0,1.35,2.2,2,1.4498884776590049,1.449634380909532,1.138756894016624
1,bias_sub,identity,1.0,1.55,10.0,1.35,3.1,2,1.4498884776590049,1.4484524014408156,1.1417290092450463
1,bias_sub,identity,1.0,1.55,24.0,1.0,2.2,2,1.6165288646474378,1.62732971785772,1.1986684247631638
1,bias_sub,identity,1.0,1.55,24.0,1.0,3.1,2,1.6165288646474378,1.6256690223279757,1.1968274357767539
1,bias_sub,identity,1.0,1.55,24.0,1.35,2.2,2,1.610636438894732,1.6118566061558905,1.1929716334079015
1,bias_sub,identity,1.0,1.55,24.0,1.35,3.1,2,1.610636438894732,1.6109500807206398,1.1956603235551124
1,bias_sub,identity,1.0,1.9,10.0,1.0,2.2,2,1.4574627360027854,1.4717808768072778,1.1477200126416538
1,bias_sub,identity,1.0,1.9,10.0,1.0,3.1,2,1.4574627360027854,1.4684442218715643,1.146665917171865
1,bias_sub,identity,1.0,1.9,10.0,1.35,2.2,2,1.4600008331153322,1.4622360155447451,1.1506685875744518
1,bias_sub,identity,1.0,1.9,10.0,1.35,3.1,2,1.4600008331153322,1.4598456308684062,1.1531561489148314
1,bias_sub,identity,1.0,1.9,24.0,1.0,2.2,2,1.6214651795113728,1.6328864147135433,1.2065127487994933
1,bias_sub,identity,1.0,1.9,24.0,1.0,3.1,2,1.6214651795113728,1.6309938956485062,1.2044754168839031
1,bias_sub,identity,1.0,1.9,24.0,1.35,2.2,2,1.6209943423463664,1.623579848548358,1.2061717737346571
1,bias_sub,identity,1.0,1.9,24.0,1.35,3.1,2,1.6209943423463664,1.6221148850172058,1.2085985982270435
1,bias_sub,identity,1.0,2.35,10.0,1.0,2.2,2,1.4833081785156554,1.4995398858815883,1.1803357284627034
1,bias_sub,identity,1.0,2.35,10.0,1.0,3.1,2,1.4833081785156554,1.4955178560003903,1.1794498888584817
1,bias_sub,identity,1.0,2.35,10.0,1.35,2.2,2,1.4857685801184268,1.490695501155861,1.1834133467230075
1,bias_sub,identity,1.0,2.35,10.0,1.35,3.1,2,1.4857685801184268,1.4882388904559776,1.1855738413928911
1,bias_sub,identity,1.0,2.35,24.0,1.0,2.2,2,1.642859021726347,1.657481700924522,1.2352290375168762
1,bias_sub,identity,1.0,2.35,24.0,1.0,3.1,2,1.642859021726347,1.6545380916581047,1.233258668273912
1,bias_sub,identity,1.0,2.35,24.0,1.35,2.2,2,1.6443489050100906,1.6500175666532368,1.2373033924078822
1,bias_sub,identity,1.0,2.35,24.0,1.35,3.1,2,1.6443489050100906,1.6485475565843823,1.2397847977046617
1,bias_sub,identity,1.0,2.95,10.0,1.0,2.2,2,1.4732901248350136,1.4973978009971443,1.2050513266802674
1,bias_sub,identity,1.0,2.95,10.0,1.0,3.1,2,1.4732901248350136,1.489032622197148,1.2020011722509412
1,bias_sub,identity,1.0,2.95,10.0,1.35,2.2,2,1.475154844353959,1.4961055829551233,1.2187104141077143
1,bias_sub,identity,1.0,2.95,10.0,1.35,3.1,2,1.475154844353959,1.4845832872456908,1.2161099817090708
1,bias_sub,identity,1.0,2.95,24.0,1.0,2.2,2,1.7436281244107925,1.7850399625451794,1.312659920104112
1,bias_sub,identity,1.0,2.95,24.0,1.0,3.1,2,1.7436281244107925,1.7726300604115366,1.3088758670642462
1,bias_sub,identity,1.0,2.95,24.0,1.35,2.2,2,1.6374559544252374,1.6546901998018464,1.2603735735693575
1,bias_sub,identity,1.0,2.95,24.0,1.35,3.1,2,1.6374559544252374,1.646558538044002,1.258251866358631
2,bias_sub,huber,1.0,1.25,10.0,1.0,2.2,2,1.584855792655379,1.572777482078022,1.2483344025998357
2,bias_sub,huber,1.0,1.25,10.0,1.0,3.1,2,1.584855792655379,1.5766768470358488,1.2420194995074205
2,bias_sub,huber,1.0,1.25,10.0,1.35,2.2,2,1.638136025233884,1.6050385128316225,1.2670458567226548
