phaseA_rank,feat_mode,calib_kind,huber_f_wifi,gate_threshold_m,uwb_variance_inflate,huber_f_fusion,irls_residual_thresh_m,irls_max_iter,train_CV_mean_RMSE_C_m
0,bias_sub,huber,1.0,1.25,10.0,1.0,2.2,2,2.6630582408902908
0,bias_sub,huber,1.0,1.25,10.0,1.0,3.1,2,2.653548666478427
0,bias_sub,huber,1.0,1.25,10.0,1.35,2.2,2,2.6263880394561117
0,bias_sub,huber,1.0,1.25,10.0,1.35,3.1,2,2.6186581867681142
0,bias_sub,huber,1.0,1.25,24.0,1.0,2.2,2,2.6614418025132065
0,bias_sub,huber,1.0,1.25,24.0,1.0,3.1,2,2.6508238604917684
0,bias_sub,huber,1.0,1.25,24.0,1.35,2.2,2,2.6261795230808596
0,bias_sub,huber,1.0,1.25,24.0,1.35,3.1,2,2.616795581493666
0,bias_sub,huber,1.0,1.55,10.0,1.0,2.2,2,2.6663443111841576
0,bias_sub,huber,1.0,1.55,10.0,1.0,3.1,2,2.65649768328184
0,bias_sub,huber,1.0,1.55,10.0,1.35,2.2,2,2.628947904499668
0,bias_sub,huber,1.0,1.55,10.0,1.35,3.1,2,2.6210382596157222
0,bias_sub,huber,1.0,1.55,24.0,1.0,2.2,2,2.663740677269029
0,bias_sub,huber,1.0,1.55,24.0,1.0,3.1,2,2.652825689040054
0,bias_sub,huber,1.0,1.55,24.0,1.35,2.2,2,2.6280388186968344
0,bias_sub,huber,1.0,1.55,24.0,1.35,3.1,2,2.6183221254821736
0,bias_sub,huber,1.0,1.9,10.0,1.0,2.2,2,2.6590170867977707
0,bias_sub,huber,1.0,1.9,10.0,1.0,3.1,2,2.6508299241782414
0,bias_sub,huber,1.0,1.9,10.0,1.35,2.2,2,2.62871635320816
0,bias_sub,huber,1.0,1.9,10.0,1.35,3.1,2,2.622786941089109
0,bias_sub,huber,1.0,1.9,24.0,1.0,2.2,2,2.6605661999306904
0,bias_sub,huber,1.0,1.9,24.0,1.0,3.1,2,2.6501215172496573
0,bias_sub,huber,1.0,1.9,24.0,1.35,2.2,2,2.639009409952758
0,bias_sub,huber,1.0,1.9,24.0,1.35,3.1,2,2.6275682579624893
0,bias_sub,huber,1.0,2.35,10.0,1.0,2.2,2,2.658044110988126
0,bias_sub,huber,1.0,2.35,10.0,1.0,3.1,2,2.650490699218157
0,bias_sub,huber,1.0,2.35,10.0,1.35,2.2,2,2.630750424270109
0,bias_sub,huber,1.0,2.35,10.0,1.35,3.1,2,2.6247346890452805
0,bias_sub,huber,1.0,2.35,24.0,1.0,2.2,2,2.6587693890086372
0,bias_sub,huber,1.0,2.35,24.0,1.0,3.1,2,2.6485100480467634
0,bias_sub,huber,1.0,2.35,24.0,1.35,2.2,2,2.640934175830051
0,bias_sub,huber,1.0,2.35,24.0,1.35,3.1,2,2.62930787749015
0,bias_sub,huber,1.0,2.95,10.0,1.0,2.2,2,2.6802664288013234
0,bias_sub,huber,1.0,2.95,10.0,1.0,3.1,2,2.6708206198842532
0,bias_sub,huber,1.0,2.95,10.0,1.35,2.2,2,2.653572179732882
0,bias_sub,huber,1.0,2.95,10.0,1.35,3.1,2,2.6442495094807303
0,bias_sub,huber,1.0,2.95,24.0,1.0,2.2,2,2.6720782912162395
0,bias_sub,huber,1.0,2.95,24.0,1.0,3.1,2,2.6609693900700098
0,bias_sub,huber,1.0,2.95,24.0,1.35,2.2,2,2.657974578101171
0,bias_sub,huber,1.0,2.95,24.0,1.35,3.1,2,2.6436447797955402
1,bias_sub,huber,1.35,1.25,10.0,1.0,2.2,2,2.6630582408902908
1,bias_sub,huber,1.35,1.25,10.0,1.0,3.1,2,2.653548666478427
1,bias_sub,huber,1.35,1.25,10.0,1.35,2.2,2,2.6263880394561117
1,bias_sub,huber,1.35,1.25,10.0,1.35,3.1,2,2.6186581867681142
1,bias_sub,huber,1.35,1.25,24.0,1.0,2.2,2,2.6614418025132065
1,bias_sub,huber,1.35,1.25,24.0,1.0,3.1,2,2.6508238604917684
1,bias_sub,huber,1.35,1.25,24.0,1.35,2.2,2,2.6261795230808596
1,bias_sub,huber,1.35,1.25,24.0,1.35,3.1,2,2.616795581493666
1,bias_sub,huber,1.35,1.55,10.0,1.0,2.2,2,2.6663443111841576
1,bias_sub,huber,1.35,1.55,10.0,1.0,3.1,2,2.65649768328184
1,bias_sub,huber,1.35,1.55,10.0,1.35,2.2,2,2.628947904499668
1,bias_sub,huber,1.35,1.55,10.0,1.35,3.1,2,2.6210382596157222
1,bias_sub,huber,1.35,1.55,24.0,1.0,2.2,2,2.663740677269029
1,bias_sub,huber,1.35,1.55,24.0,1.0,3.1,2,2.652825689040054
1,bias_sub,huber,1.35,1.55,24.0,1.35,2.2,2,2.6280388186968344
1,bias_sub,huber,1.35,1.55,24.0,1.35,3.1,2,2.6183221254821736
1,bias_sub,huber,1.35,1.9,10.0,1.0,2.2,2,2.6590170867977707
1,bias_sub,huber,1.35,1.9,10.0,1.0,3.1,2,2.6508299241782414
1,bias_sub,huber,1.35,1.9,10.0,1.35,2.2,2,2.62871635320816
1,bias_sub,huber,1.35,1.9,10.0,1.35,3.1,2,2.622786941089109
1,bias_sub,huber,1.35,1.9,24.0,1.0,2.2,2,2.6605661999306904
1,bias_sub,huber,1.35,1.9,24.0,1.0,3.1,2,2.6501215172496573
1,bias_sub,huber,1.35,1.9,24.0,1.35,2.2,2,2.639009409952758
1,bias_sub,huber,1.35,1.9,24.0,1.35,3.1,2,2.6275682579624893
1,bias_sub,huber,1.35,2.35,10.0,1.0,2.2,2,2.658044110988126
1,bias_sub,huber,1.35,2.35,10.0,1.0,3.1,2,2.650490699218157
1,bias_sub,huber,1.35,2.35,10.0,1.35,2.2,2,2.630750424270109
1,bias_sub,huber,1.35,2.35,10.0,1.35,3.1,2,2.6247346890452805
1,bias_sub,huber,1.35,2.35,24.0,1.0,2.2,2,2.6587693890086372
1,bias_sub,huber,1.35,2.35,24.0,1.0,3.1,2,2.6485100480467634
1,bias_sub,huber,1.35,2.35,24.0,1.35,2.2,2,2.640934175830051
1,bias_sub,huber,1.35,2.35,24.0,1.35,3.1,2,2.62930787749015
1,bias_sub,huber,1.35,2.95,10.0,1.0,2.2,2,2.6802664288013234
1,bias_sub,huber,1.35,2.95,10.0,1.0,3.1,2,2.6708206198842532
1,bias_sub,huber,1.35,2.95,10.0,1.35,2.2,2,2.653572179732882
1,bias_sub,huber,1.35,2.95,10.0,1.35,3.1,2,2.6442495094807303
1,bias_sub,huber,1.35,2.95,24.0,1.0,2.2,2,2.6720782912162395
1,bias_sub,huber,1.35,2.95,24.0,1.0,3.1,2,2.6609693900700098
1,bias_sub,huber,1.35,2.95,24.0,1.35,2.2,2,2.657974578101171
1,bias_sub,huber,1.35,2.95,24.0,1.35,3.1,2,2.6436447797955402
2,bias_sub,identity,1.0,1.25,10.0,1.0,2.2,2,2.658314153900624
2,bias_sub,identity,1.0,1.25,10.0,1.0,3.1,2,2.649144226889394
2,bias_sub,identity,1.0,1.25,10.0,1.35,2.2,2,2.642335403305279
2,bias_sub,identity,1.0,1.25,10.0,1.35,3.1,2,2.6327999065889713
2,bias_sub,identity,1.0,1.25,24.0,1.0,2.2,2,2.6582911614293714
2,bias_sub,identity,1.0,1.25,24.0,1.0,3.1,2,2.644871841481538
2,bias_sub,identity,1.0,1.25,24.0,1.35,2.2,2,2.5177416504130066
2,bias_sub,identity,1.0,1.25,24.0,1.35,3.1,2,2.5095681794333484
2,bias_sub,identity,1.0,1.55,10.0,1.0,2.2,2,2.657187215908989
2,bias_sub,identity,1.0,1.55,10.0,1.0,3.1,2,2.65010452158717
2,bias_sub,identity,1.0,1.55,10.0,1.35,2.2,2,2.6413037330644884
2,bias_sub,identity,1.0,1.55,10.0,1.35,3.1,2,2.633165936150819
2,bias_sub,identity,1.0,1.55,24.0,1.0,2.2,2,2.6550229010994055
2,bias_sub,identity,1.0,1.55,24.0,1.0,3.1,2,2.6436890187070152
2,bias_sub,identity,1.0,1.55,24.0,1.35,2.2,2,2.515888730244598
2,bias_sub,identity,1.0,1.55,24.0,1.35,3.1,2,2.5091783519388446
2,bias_sub,identity,1.0,1.9,10.0,1.0,2.2,2,2.657161125088904
2,bias_sub,identity,1.0,1.9,10.0,1.0,3.1,2,2.649888395518358
2,bias_sub,identity,1.0,1.9,10.0,1.35,2.2,2,2.643413511901819
2,bias_sub,identity,1.0,1.9,10.0,1.35,3.1,2,2.634771390995668
2,bias_sub,identity,1.0,1.9,24.0,1.0,2.2,2,2.6572662917899703
2,bias_sub,identity,1.0,1.9,24.0,1.0,3.1,2,2.6451959639108327
2,bias_sub,identity,1.0,1.9,24.0,1.35,2.2,2,2.5267202325231213
2,bias_sub,identity,1.0,1.9,24.0,1.35,3.1,2,2.520042543603838
2,bias_sub,identity,1.0,2.35,10.0,1.0,2.2,2,2.650962250935743
2,bias_sub,identity,1.0,2.35,10.0,1.0,3.1,2,2.644290477694567
2,bias_sub,identity,1.0,2.35,10.0,1.35,2.2,2,2.638222827491622
2,bias_sub,identity,1.0,2.35,10.0,1.35,3.1,2,2.630438834677863
2,bias_sub,identity,1.0,2.35,24.0,1.0,2.2,2,2.6507529158832823
2,bias_sub,identity,1.0,2.35,24.0,1.0,3.1,2,2.63935531519311
2,bias_sub,identity,1.0,2.35,24.0,1.35,2.2,2,2.5204725444295577
2,bias_sub,identity,1.0,2.35,24.0,1.35,3.1,2,2.5154030324530674
2,bias_sub,identity,1.0,2.95,10.0,1.0,2.2,2,2.6705301719806425
2,bias_sub,identity,1.0,2.95,10.0,1.0,3.1,2,2.6622855444450746
2,bias_sub,identity,1.0,2.95,10.0,1.35,2.2,2,2.657280069933123
2,bias_sub,identity,1.0,2.95,10.0,1.35,3.1,2,2.64722701426432
2,bias_sub,identity,1.0,2.95,24.0,1.0,2.2,2,2.7080828368656196
2,bias_sub,identity,1.0,2.95,24.0,1.0,3.1,2,2.693926085861497
2,bias_sub,identity,1.0,2.95,24.0,1.35,2.2,2,2.53378954998386
2,bias_sub,identity,1.0,2.95,24.0,1.35,3.1,2,2.5269619591823163
