trial,mean_cv_rmse_step_c_m,calibration_rank,v3_profile_idx,blend_calib_alpha,knn_residual_neighbors,gate_threshold_m,uwb_variance_inflate,huber_f_fusion,irls_residual_thresh_m
0,2.577088522447695,6,4,1.0,3,1.7679448025133846,15.168580288677202,1.2,2.2
1,2.694581098421431,1,3,0.5,0,1.936910055302135,18.96988066195349,1.2,2.75
2,2.6144983023889523,1,2,0.5,3,1.3620931375685776,14.23860050843301,1.2,3.1
3,2.722139272771388,7,2,0.5,3,1.9773818604104128,16.426786828557915,1.35,3.1
4,2.54998595878947,0,4,1.0,3,1.7959237152702983,10.269101454362543,1.35,2.75
5,2.6880195622629866,3,0,0.2,6,1.3879578914609556,13.104572561282898,1.2,3.1
6,2.6861797135415553,0,0,0.35,6,1.2975651580708307,22.508562203246065,1.2,2.2
7,2.593914069132682,7,0,1.0,3,1.6842184766829984,14.97259445800627,1.35,3.1
8,2.5524735858011147,8,0,1.0,0,1.6578869104313319,20.444518138573187,1.35,3.1
9,2.6611430237711726,5,2,0.2,3,1.6854567604097237,9.555433490905672,1.35,3.1
10,2.699515603085169,2,0,0.5,3,1.6467640266279182,13.936355269718225,1.35,3.05
11,2.6750531663209323,7,0,0.8,6,1.8731210309829933,13.983719378526747,1.35,2.75
12,2.542888744351597,12,4,0.0,0,1.8282356533749617,8.173490157724936,1.0,2.75
13,2.584240008279212,4,4,0.65,0,1.8220729972373761,9.216892381339157,1.0,2.75
14,2.5812850547375614,12,4,0.0,0,1.8381923223134078,8.029925670118635,1.0,2.75
15,2.6236583396408975,12,4,0.8,0,1.4939700259080337,9.46931818896521,1.0,2.75
16,2.6313309527747317,12,4,0.65,0,1.842762229911358,8.369271123394292,1.0,2.75
17,2.5403725005884135,12,4,0.0,0,1.8104694313605991,8.621935407166854,1.0,2.75
18,2.6291289276798744,11,4,1.0,0,1.5186600594962012,8.680969753587279,1.0,2.75
19,2.6292156059613965,11,4,1.0,0,1.5327711872225867,8.562755160754124,1.0,2.75
20,2.6299208927999076,12,3,0.65,0,1.5340708736287691,10.975806861830163,1.0,2.75
21,2.5377898598973356,12,3,0.0,0,1.5070074838448044,11.297938038474204,1.0,2.75
22,2.581773957650587,10,3,0.0,0,2.011250908284519,11.729999994752248,1.0,3.05
23,2.536115646456208,10,3,0.0,0,1.589415061133808,11.674159547610536,1.0,3.05
24,2.5788635768271813,9,3,0.0,0,2.042203450878669,11.452543952089384,1.0,3.05
25,2.5789039098328845,10,3,0.0,0,2.036459576490908,11.701765788431949,1.0,3.05
26,2.5788116535406296,10,3,0.0,0,2.0423537561197618,11.145264050257385,1.0,3.05
27,2.57889057090965,9,3,0.0,0,2.0308526505383244,11.619987519895435,1.0,3.05
28,2.578683597633475,9,3,0.0,0,2.0478557477026484,11.67624657344831,1.0,3.05
29,2.5788838359037567,9,3,0.0,0,2.043165426915522,11.578507566297858,1.0,3.05
30,2.5362918040963907,9,3,0.0,0,1.584263947229249,12.454404121115234,1.0,3.05
31,2.5366653087816413,9,3,0.0,0,1.594110358113164,12.339379706327406,1.0,3.05
32,2.5374056334097075,10,1,0.0,6,1.4323678817146466,17.28846387913574,1.0,3.05
33,2.5400903659622363,10,1,0.0,6,1.5951130219566334,16.933317561660026,1.0,3.05
34,2.5516853608486123,11,1,0.35,6,1.5925170919517968,12.68708093970063,1.0,2.2
35,2.5517910499296286,11,1,0.35,6,1.5779160572485988,12.942540414239993,1.0,2.2
36,2.708241615998715,8,2,0.35,6,1.601782985500597,16.820139646851906,1.0,2.2
37,2.5594200171706483,11,1,0.35,6,1.73494922509221,13.031974949345873,1.0,2.2
38,2.5538928392207065,11,1,0.35,6,1.6147111552445095,12.654933005305184,1.0,2.2
39,2.6925841637604386,8,1,0.35,6,1.5921619309703834,16.841564222994073,1.2,3.05
40,2.6925698434129637,8,1,0.35,6,1.590016931526312,16.735101312742998,1.2,3.05
41,2.6935562911490116,8,1,0.35,6,1.4335881151382932,18.32171381380458,1.2,2.2
