trial,mean_cv_rmse_step_c_m,calibration_rank,v3_profile_idx,blend_calib_alpha,knn_residual_neighbors,gate_threshold_m,uwb_variance_inflate,huber_f_fusion,irls_residual_thresh_m
0,2.600269573073896,2,0,0.5,0,1.4,10.0,1.35,3.1
1,2.5348861648280514,0,0,0.0,0,1.69,13.83,1.2,3.1
2,2.534564496997169,1,0,0.5,0,1.53,14.0,1.2,3.05
3,2.6911380991450122,3,4,0.35,3,1.866538329432827,22.974109687435472,1.2,3.05
4,2.74269060904327,3,4,0.0,6,2.029661710146497,22.139459857917437,1.0,3.05
5,2.680130097901909,7,2,0.35,3,1.614115827200943,14.468482089159426,1.35,3.1
6,2.691318502252519,3,2,0.5,0,1.9888525370594166,23.16953333784164,1.2,3.1
7,2.637641106435188,7,1,0.8,0,1.5478914637599661,19.198136452654236,1.0,3.1
8,2.5364240206765785,0,4,0.5,3,1.7284977290470747,9.773889972283142,1.35,3.05
9,2.6254776598318297,1,4,0.65,6,1.8333311348380805,14.95932458638256,1.0,2.75
10,2.7151682344969132,6,0,0.0,3,1.7577939032441114,22.172542115810778,1.35,2.2
11,2.6978278522272583,3,3,0.5,6,2.003879184596457,16.1327087936886,1.0,2.2
12,2.6372422249952305,10,0,0.65,3,1.9232121791627832,19.579845913224787,1.35,2.75
13,2.623951911556244,12,3,0.65,6,1.5636272015580628,15.474978119094741,1.2,2.2
14,2.631649000167609,12,1,1.0,0,1.297256510467452,18.50631891065751,1.2,2.2
15,2.6331956140782373,12,1,1.0,0,1.3342626661417918,18.216472150025467,1.2,2.2
16,2.634565029754661,12,1,1.0,0,1.4540957339327703,12.59168638165309,1.2,2.2
17,2.6357107914958404,0,1,1.0,0,1.44937388029742,13.300648090217138,1.2,2.2
18,2.5334230966330757,12,1,0.2,0,1.2555973825281628,12.422551473806708,1.2,2.75
19,2.6184272184456443,0,1,1.0,0,1.405569832788115,12.344953356113162,1.2,3.05
20,2.528712974591516,0,1,0.2,0,1.2555310110083813,12.347903326578876,1.2,3.05
21,2.616069781973993,0,1,1.0,0,1.3778548084745943,12.30324898834446,1.2,3.05
22,2.68107063508212,5,1,0.2,0,1.2609767622248873,11.470903420106856,1.2,3.05
23,2.699910323701003,5,0,0.2,0,1.6787098878402904,11.607874461006993,1.2,3.05
24,2.6922296520003983,5,0,0.2,0,1.7212175782126267,11.870719584296436,1.2,3.05
25,2.6999434899650114,5,0,0.2,0,1.6855713522688973,12.213139464297086,1.2,3.05
26,2.6836415772182547,5,2,0.2,0,1.251310200149013,12.106209893292249,1.2,2.75
27,2.722368929170605,9,2,0.2,0,1.258919742558156,11.52027173335227,1.2,2.75
28,2.679882634844897,5,0,0.2,0,1.2556897475435382,8.015975966867126,1.2,2.75
29,2.6848175811313606,5,2,0.2,0,1.2610396385992468,10.998025510760433,1.2,2.75
30,2.717294760338912,9,0,0.2,0,1.5122818438977337,8.330728347426714,1.2,2.75
31,2.679539037096274,10,2,0.2,0,1.2608520868522042,16.97883561954329,1.2,2.75
32,2.7215293940458647,9,2,0.2,0,1.2559147677336264,8.541454166110597,1.2,2.75
33,2.721519079307401,9,2,0.2,0,1.2503391042252678,8.403632073481514,1.2,2.75
34,2.654750833700654,9,2,0.8,0,1.5300236206003124,8.155336804434116,1.2,2.75
35,2.6368789986168264,2,2,0.8,6,1.482813501976199,16.609635513128335,1.0,2.75
36,2.6385536247179187,2,2,0.8,6,1.4902606006242483,16.530469267478196,1.0,2.75
37,2.6358746267926896,2,1,0.8,6,1.488344102375203,16.495782256211662,1.0,3.05
38,2.7284640630936736,2,0,0.0,0,1.3598328054346802,13.961298121748388,1.2,3.1
39,2.7258760619553453,2,0,0.0,0,1.3553689724425615,13.94025551668741,1.2,3.1
40,2.7397005204437215,2,0,0.0,6,1.3414454478188316,13.906279409740963,1.0,3.1
41,2.7397000627803156,2,0,0.0,6,1.338342165134526,14.151152215979106,1.0,3.1
