phase,trial,composite_loss,mean_cv_rmse_step_a_m,mean_cv_rmse_step_c_m,calibration_rank,v3_profile_idx,blend_calib_alpha,knn_residual_neighbors,gate_threshold_m,uwb_variance_inflate,huber_f_fusion,irls_residual_thresh_m
composite_stepA_stepC,0,2.580275872266705,2.5915859096742175,2.570947155280946,9,2,1.0,3,2.438163254165497,17.004690460906446,1.0,2.45
composite_stepA_stepC,1,2.6482127416316104,2.570611997476868,2.7122191948395353,7,2,0.35,0,2.2880865576235125,32.259017668847136,1.0,3.05
composite_stepA_stepC,2,2.565279417768598,2.643100975351847,2.5010908337765745,17,3,0.2,6,2.3722586968994737,17.25769893206362,1.12,2.75
composite_stepA_stepC,3,2.750212711776386,2.9227987681026715,2.6078607091130994,16,1,0.55,3,1.5464207856104228,27.741162675815186,1.0,3.05
composite_stepA_stepC,4,2.7090794483268636,2.741483616578965,2.682351922688268,1,1,0.55,3,1.301694246820615,32.26939163388312,1.12,2.45
composite_stepA_stepC,5,2.6056980072089706,2.5623298690105787,2.6414688073288124,7,1,0.85,0,1.3863363400058462,22.51096825083744,1.0,2.75
composite_stepA_stepC,6,2.7533796855534263,2.9483941947208447,2.5925283020795695,15,3,0.35,3,1.8549829093687373,21.151434549570233,1.12,3.05
composite_stepA_stepC,7,2.6441144349287375,2.591914752727663,2.6871696472551716,10,7,1.0,6,1.4206636561438923,23.805260498969112,1.0,2.45
composite_stepA_stepC,8,2.738383658881923,2.7653708691051144,2.7161241351211878,6,1,0.75,3,2.4087839746597255,18.36981419841764,1.12,2.45
composite_stepA_stepC,9,2.619198152650725,2.6080541200352836,2.6283899459758695,16,2,0.85,0,1.3015570139838617,20.630906312574922,1.0,3.05
composite_stepA_stepC,10,2.628049080404656,2.799179668030133,2.4868975738230574,15,6,0.2,3,2.4667599678907846,16.425850893225718,1.0,2.45
composite_stepA_stepC,11,2.6633617761348454,2.6618872479980586,2.6645779927732165,5,6,0.35,6,2.434633105382342,32.93057678777147,1.12,3.05
