Node_x,Node_y,n,mean_delta,median_delta
3,12,1,-0.5839591291590835,-0.5839591291590835
3,4,1,-0.29055385920318955,-0.29055385920318955
10,25,5,-0.09789773187887381,0.04929070477537656
20,0,4,-0.0943482328262561,0.014218535768926177
2,2,3,-0.08494860037195773,0.020644541898481972
10,26,1,-0.05925153134661265,-0.05925153134661265
4,10,1,-0.04420929306431676,-0.04420929306431676
18,28,1,-0.04077671193883048,-0.04077671193883048
19,30,1,-0.038416476538495115,-0.038416476538495115
19,27,1,-0.028415783885890167,-0.028415783885890167
0,0,1,-0.027169978981293585,-0.027169978981293585
20,15,5,-0.026640173192303072,0.028045461363099378
4,7,1,-0.024271352873541097,-0.024271352873541097
1,0,1,-0.022565480834089158,-0.022565480834089158
17,10,1,-0.022444037541842765,-0.022444037541842765
19,29,1,-0.021994763890327285,-0.021994763890327285
9,3,1,-0.020721238068400094,-0.020721238068400094
15,30,1,-0.01959479226745886,-0.01959479226745886
6,7,1,-0.017942162978215048,-0.017942162978215048
2,8,2,-0.017752420742893904,-0.017752420742893904
17,17,1,-0.01613505778307678,-0.01613505778307678
3,0,1,-0.016047239588917517,-0.016047239588917517
20,25,1,-0.015992753077306077,-0.015992753077306077
5,18,1,-0.015079667644564587,-0.015079667644564587
15,10,1,-0.01384528603917723,-0.01384528603917723
5,20,3,-0.013052338746327496,-0.014609178905456321
12,25,1,-0.013049386577696609,-0.013049386577696609
5,0,3,-0.013032171400567153,-0.01640550077792624
8,13,1,-0.012652656147547181,-0.012652656147547181
7,4,1,-0.012232949222018341,-0.012232949222018341
19,21,1,-0.01222948745966601,-0.01222948745966601
12,16,1,-0.011762893399270363,-0.011762893399270363
1,1,1,-0.009947899272897187,-0.009947899272897187
2,23,1,-0.009145678622311859,-0.009145678622311859
13,4,1,-0.008522208898330441,-0.008522208898330441
0,4,1,-0.008396051590641385,-0.008396051590641385
6,22,1,-0.008290957552921085,-0.008290957552921085
9,8,1,-0.007865472584273947,-0.007865472584273947
16,15,1,-0.0077264681870903296,-0.0077264681870903296
4,18,1,-0.006883173078767735,-0.006883173078767735
20,20,2,-0.006557729895733805,-0.006557729895733805
