catalog_index,calib_kind,feat_mode,huber_f_wifi,train_CV_RMSE_pure_calibrated_step_a
0,identity,bias_sub,1.0,2.6761298808996443
1,identity,bias_sub,1.05,2.6753778991668753
2,identity,bias_sub,1.1,2.674161791886861
3,identity,bias_sub,1.15,2.672958386427957
4,identity,bias_sub,1.28,2.6690020700162145
5,identity,bias_sub,1.35,2.66845699530734
6,huber,bias_sub,1.15,2.575864172803272
7,huber,bias_sub,1.2,2.581508325211883
8,huber,bias_sub,1.0,2.5951254156671912
9,huber,bias_sub,1.05,2.5915858433286645
10,huber,bias_sub,1.1,2.588214328685915
11,huber,bias_sub,1.2,2.5786371133420594
12,huber,bias_sub,1.28,2.582792020417332
13,huber,bias_sub,1.28,2.5827919422888086
14,huber,bias_sub,1.32,2.572153283726486
15,huber,bias_sub,1.35,2.571483135062174
16,ransac,bias_sub,1.35,2.5750971615413243
17,ransac,bias_sub,1.35,2.5919147537318676
