catalog_index,calib_kind,feat_mode,huber_f_wifi,train_CV_RMSE_pure_calibrated_step_a
0,identity,bias_sub,1.0,2.6173060964301182
1,identity,bias_sub,1.05,2.615219058036481
2,identity,bias_sub,1.1,2.6127440613524637
3,identity,bias_sub,1.15,2.610761948441754
4,identity,bias_sub,1.28,2.6062720256795022
5,identity,bias_sub,1.35,2.6038440159091594
6,huber,bias_sub,1.15,2.5758641972070335
7,huber,bias_sub,1.2,2.581508361715997
8,huber,bias_sub,1.0,2.595125547972716
9,huber,bias_sub,1.05,2.5915859096742175
10,huber,bias_sub,1.1,2.588214101801373
11,huber,bias_sub,1.2,2.578637410890659
12,huber,bias_sub,1.28,2.5827924611094297
13,huber,bias_sub,1.28,2.5827923650005618
14,huber,bias_sub,1.32,2.5721534150508547
15,huber,bias_sub,1.35,2.5714833390678464
16,ransac,bias_sub,1.35,2.5750971638587394
17,ransac,bias_sub,1.35,2.591914752727663
