phase,trial,composite_loss,mean_cv_rmse_wifi_guide_m,mean_cv_rmse_fusion_reweight_m,calibration_rank,v3_profile_idx,blend_calib_alpha,knn_residual_neighbors,gate_threshold_m,uwb_variance_inflate,huber_f_fusion,irls_residual_thresh_m
composite_wifi_guide_fusion_reweight,0,2.6351969620442546,2.5369242097389013,2.716254049712173,2,5,0.75,0,2.3987077241991264,26.013610476194337,1.0,3.05
composite_wifi_guide_fusion_reweight,1,2.5653364123227256,2.595535272810125,2.540427863161586,12,6,0.45,0,1.4368300878112137,23.77340882283115,1.0,3.05
composite_wifi_guide_fusion_reweight,2,2.597654276639655,2.550519884251545,2.6365315491933514,6,6,0.75,0,1.3519703745667626,14.002767552220565,1.0,3.05
composite_wifi_guide_fusion_reweight,3,2.6531468669302187,2.85737271243679,2.4846978118773535,13,5,0.75,3,2.5786254004268048,16.203338929763774,1.0,3.05
composite_wifi_guide_fusion_reweight,4,2.5914868514922746,2.6956438618922434,2.505576324666022,13,5,0.55,6,2.142369089629922,15.72979368206825,1.0,2.45
composite_wifi_guide_fusion_reweight,5,2.6927441238915706,2.7668175331389544,2.631647078307962,11,6,0.75,3,2.0723069406837897,23.99068943098087,1.0,2.75
composite_wifi_guide_fusion_reweight,6,2.5774068517612525,2.6142288232190847,2.547035444646397,13,7,0.2,6,1.1578004759635367,29.25271487992967,1.0,2.75
composite_wifi_guide_fusion_reweight,7,2.65024073171029,2.5878460710928186,2.70170494083273,4,3,0.2,0,1.3516487986045689,29.587282066973213,1.0,2.45
composite_wifi_guide_fusion_reweight,8,2.611676100621587,2.534123017451322,2.6756432422145795,10,1,0.65,0,1.828428088240588,25.67463257924407,1.0,3.05
composite_wifi_guide_fusion_reweight,9,2.5767617367375273,2.5750971638587394,2.5781347056083517,2,7,1.0,6,1.9884552306618686,26.788045613174255,1.0,3.05
composite_wifi_guide_fusion_reweight,10,2.622487717573332,2.5551436775673646,2.678034261519859,5,0,0.45,0,2.509360072731758,26.14362156250068,1.0,2.75
composite_wifi_guide_fusion_reweight,11,2.631355888223882,2.7342981731365454,2.546447288259422,16,0,0.45,6,1.665817393587805,19.81719088471985,1.12,2.45
