phase,fusion_objective,trial,optuna_objective_value,composite_loss,mean_cv_rmse_wifi_guide_m,mean_cv_rmse_fusion_hardgate_m,mean_cv_rmse_fusion_reweight_m,calibration_rank,v3_profile_idx,blend_calib_alpha,knn_residual_neighbors,gate_threshold_m,uwb_variance_inflate,huber_f_fusion,irls_residual_thresh_m
v16_primary_composite,composite,0,2.5963865320316186,2.5963865320316186,2.6428975818062175,2.513516318478489,2.5580234033854157,14,2,0.2,6,1.2494962892860004,20.584953720273187,1.0,2.75
v16_primary_composite,composite,1,2.5710418227314458,2.5710418227314458,2.5827924611094297,2.5314756303049037,2.5613496903466855,7,5,1.0,0,1.6052008333317165,26.150582432501533,1.12,2.45
v16_primary_composite,composite,2,2.5951564519578003,2.5951564519578003,2.5381792813909008,2.6228983679378644,2.6421522203815933,2,0,0.75,0,2.1796757297463207,18.525142678017005,1.12,2.75
v16_primary_composite,composite,3,2.576621636857515,2.576621636857515,2.624228691886215,2.4938912488791707,2.5373545038776384,15,4,0.2,6,1.7498024330502697,20.133596544005616,1.12,2.75
v16_primary_composite,composite,4,2.6441822818204446,2.6441822818204446,2.60266054265031,2.6552450606944746,2.6784301396761028,9,2,0.55,6,1.6297556388862344,21.19453169578775,1.12,2.75
v16_primary_composite,composite,5,2.57637254333885,2.57637254333885,2.5915859096742175,2.5338914440783054,2.5638242922739116,9,7,1.0,3,2.289249398101891,14.30230120512958,1.0,2.75
v16_primary_composite,composite,6,2.5850281905894827,2.5850281905894827,2.5323923638092807,2.6071170899629013,2.6284431426052692,0,5,0.65,0,1.9229938362858883,18.258009026457252,1.12,2.45
v16_primary_composite,composite,7,2.5685355979212305,2.5685355979212305,2.578637410890659,2.5318342298571554,2.5602034456179794,4,6,1.0,3,2.334910843794642,15.681043922752867,1.12,2.75
v16_primary_composite,composite,8,2.6400568748465014,2.6400568748465014,2.5531105581608053,2.6865932360175844,2.7117717199960176,7,2,0.55,0,2.394732292778339,15.400042478440541,1.12,2.45
v16_primary_composite,composite,9,2.6978060461035565,2.6978060461035565,2.9281664606973075,2.469373669537909,2.5078007406357172,14,7,0.35,3,2.792402915486853,31.316541593876345,1.0,3.05
v16_primary_composite,composite,10,2.576305897117093,2.576305897117093,2.6177631387337588,2.4979165376529964,2.5421112379734194,16,7,0.2,6,2.77288754772118,32.90408987844581,1.0,3.05
v16_primary_composite,composite,11,2.6991525424674894,2.6991525424674894,2.9278749219335616,2.4704731406549567,2.5104983170684654,16,7,0.85,3,2.7437756716077435,29.754236984978043,1.0,3.05
