anchor_index,fusion_rule,count
0,soft_logvar,35
0,wifi_only_uwb_dead_or_var,33
0,asym_wifi_dom_underest,11
0,asym_uwb_dom_multipath,9
0,nan_both_or_no_wifi,7
0,uwb_only_wifi_dead_or_bad_var,5
1,soft_logvar,34
1,wifi_only_uwb_dead_or_var,29
1,asym_uwb_dom_multipath,21
1,asym_wifi_dom_underest,12
1,uwb_only_wifi_dead_or_bad_var,3
1,nan_both_or_no_wifi,1
2,wifi_only_uwb_dead_or_var,30
2,soft_logvar,29
2,asym_wifi_dom_underest,21
2,asym_uwb_dom_multipath,16
2,uwb_only_wifi_dead_or_bad_var,4
3,soft_logvar,44
3,wifi_only_uwb_dead_or_var,31
3,asym_wifi_dom_underest,10
3,asym_uwb_dom_multipath,8
3,nan_both_or_no_wifi,4
3,uwb_only_wifi_dead_or_bad_var,3
4,wifi_only_uwb_dead_or_var,32
4,soft_logvar,32
4,asym_wifi_dom_underest,23
4,asym_uwb_dom_multipath,5
4,nan_both_or_no_wifi,5
4,uwb_only_wifi_dead_or_bad_var,3
5,wifi_only_uwb_dead_or_var,35
5,soft_logvar,29
5,asym_wifi_dom_underest,17
5,uwb_only_wifi_dead_or_bad_var,13
5,asym_uwb_dom_multipath,4
5,nan_soft_weight,1
5,nan_both_or_no_wifi,1
