phase,alpha,beta,RMSE_m,MAE_m
C_alpha_sweep,1.2,,3.526590732259743,2.3914923103736343
C_alpha_sweep,1.5,,3.6241490656889415,2.5283596801277612
C_alpha_sweep,1.8,,3.6809478629676864,2.617194465068055
C_alpha_sweep,2.0,,3.7044244748451574,2.691220135410178
C_alpha_sweep,2.5,,3.7731702914574123,2.760842844595408
D_beta_sweep,1.2,0.01,3.615000490535105,2.485880417436202
D_beta_sweep,1.2,0.03,3.6500975151397523,2.5457268659024765
D_beta_sweep,1.2,0.05,3.8354796767948636,2.7281668383118127
D_beta_sweep,1.2,0.1,4.006540785765869,2.966066280318189
D_beta_sweep,1.2,0.2,4.238064719345123,3.2815998700166573
D_full_grid,1.2,0.01,3.615000490535105,2.485880417436202
D_full_grid,1.2,0.03,3.6500975151397523,2.5457268659024765
D_full_grid,1.2,0.05,3.8354796767948636,2.7281668383118127
D_full_grid,1.2,0.1,4.006540785765869,2.966066280318189
D_full_grid,1.2,0.2,4.238064719345123,3.2815998700166573
D_full_grid,1.5,0.01,3.707892464194284,2.6210086283215683
D_full_grid,1.5,0.03,3.7386231675398887,2.678593046073524
D_full_grid,1.5,0.05,3.868413879359097,2.807245802519725
D_full_grid,1.5,0.1,4.028456280865604,3.028451937382806
D_full_grid,1.5,0.2,4.277645658809764,3.356856668943143
D_full_grid,1.8,0.01,3.7571458848608925,2.7028212748195846
D_full_grid,1.8,0.03,3.761558392835667,2.7234461126213945
D_full_grid,1.8,0.05,3.976901112736042,2.9434113882294337
D_full_grid,1.8,0.1,4.094678265322531,3.118380286808516
D_full_grid,1.8,0.2,4.321709522307094,3.4076704093266192
D_full_grid,2.0,0.01,3.75037109241316,2.7407237544267247
D_full_grid,2.0,0.03,3.759331255635445,2.7628542726525684
D_full_grid,2.0,0.05,3.980546182330825,2.982748984069019
D_full_grid,2.0,0.1,4.07361087333253,3.1457041898386437
D_full_grid,2.0,0.2,4.291647758806516,3.4209549132721495
D_full_grid,2.5,0.01,3.770330111018477,2.7609547181537963
D_full_grid,2.5,0.03,3.7855198310471585,2.7904594750738823
D_full_grid,2.5,0.05,4.008092744065517,3.0169615680502613
D_full_grid,2.5,0.1,4.086743092464899,3.172179395876351
D_full_grid,2.5,0.2,4.317121231585749,3.4663339626395633
