Sensor,Type,Robust Bias (m),Trimmed Mean Err (m),Catastrophic %,Var P50,Var P90,Var P99
110394ab,UWB,-1.9266615305567867,-2.6493445450489626,30.74074074074074,0.3,6.258000000000001,104488.35639999996
e63ce2f,UWB,-3.6430428862431787,-3.373125260812102,29.25925925925926,0.41,7.332000000000001,3314.9389999997948
8e610981,UWB,-0.5155262752974139,-1.1263938630131438,23.703703703703702,0.37,5.282000000000001,91684.65289999999
d10485af,UWB,-2.0510988842807025,-3.2987772347727775,25.555555555555557,0.33,6.8,71773.83
d1044709,UWB,-0.9961387327334212,-1.5167710388626672,30.37037037037037,0.545,9.9,48024.04350000003
4e610206,UWB,-0.607354648979129,-1.7155675324687543,25.555555555555557,0.305,8.322000000000001,58173.96210000032
SW_first_team,Wi-Fi,0.4399999999999995,0.4328104652211298,0.0,0.14500000000000002,4.572,20.60480000000001
SW_4,Wi-Fi,0.44823278565189284,0.300237613157708,1.1111111111111112,0.165,2.616,13.734099999999987
SW_5,Wi-Fi,0.2768197477764218,-0.07695785234306275,0.37037037037037035,0.08,1.1820000000000017,10.108399999999998
SW_6,Wi-Fi,0.26262191540779956,0.24480379324869975,0.37037037037037035,0.14,1.8820000000000001,11.935999999999959
SW_11,Wi-Fi,0.49730095993990986,0.6409995003702145,1.1111111111111112,0.23,3.930000000000001,22.402099999999947
볼링공,Wi-Fi,0.307391342756298,0.1639383015535037,0.7407407407407407,0.135,2.9550000000000005,25.33799999999934
