val_sample_index,Node_x,Node_y,anchor_slot,anchor_uwb,Pass,Gate_Drop,Var_Drop
0,20,3,0,110394ab,0,0,1
0,20,3,1,e63ce2f,0,0,1
0,20,3,2,8e610981,0,1,0
0,20,3,3,d10485af,0,1,0
0,20,3,4,d1044709,0,0,1
0,20,3,5,4e610206,0,1,0
1,0,23,0,110394ab,0,0,1
1,0,23,1,e63ce2f,0,0,1
1,0,23,2,8e610981,1,0,0
1,0,23,3,d10485af,1,0,0
1,0,23,4,d1044709,0,1,0
1,0,23,5,4e610206,0,1,0
2,8,7,0,110394ab,1,0,0
2,8,7,1,e63ce2f,0,0,1
2,8,7,2,8e610981,1,0,0
2,8,7,3,d10485af,0,0,1
2,8,7,4,d1044709,1,0,0
2,8,7,5,4e610206,0,1,0
3,7,4,0,110394ab,1,0,0
3,7,4,1,e63ce2f,1,0,0
3,7,4,2,8e610981,1,0,0
3,7,4,3,d10485af,1,0,0
3,7,4,4,d1044709,1,0,0
3,7,4,5,4e610206,0,1,0
4,3,21,0,110394ab,0,1,0
4,3,21,1,e63ce2f,0,1,0
4,3,21,2,8e610981,1,0,0
4,3,21,3,d10485af,0,0,1
4,3,21,4,d1044709,1,0,0
4,3,21,5,4e610206,0,0,1
5,17,2,0,110394ab,0,1,0
5,17,2,1,e63ce2f,0,0,1
5,17,2,2,8e610981,0,0,1
5,17,2,3,d10485af,0,0,1
5,17,2,4,d1044709,1,0,0
5,17,2,5,4e610206,1,0,0
6,18,13,0,110394ab,0,1,0
6,18,13,1,e63ce2f,1,0,0
6,18,13,2,8e610981,0,1,0
6,18,13,3,d10485af,1,0,0
6,18,13,4,d1044709,0,0,1
6,18,13,5,4e610206,1,0,0
7,1,0,0,110394ab,1,0,0
7,1,0,1,e63ce2f,0,1,0
7,1,0,2,8e610981,0,0,1
7,1,0,3,d10485af,0,1,0
7,1,0,4,d1044709,0,0,1
7,1,0,5,4e610206,0,1,0
8,2,6,0,110394ab,1,0,0
8,2,6,1,e63ce2f,0,1,0
8,2,6,2,8e610981,1,0,0
8,2,6,3,d10485af,0,1,0
8,2,6,4,d1044709,0,0,1
8,2,6,5,4e610206,0,1,0
9,7,16,0,110394ab,1,0,0
9,7,16,1,e63ce2f,0,1,0
9,7,16,2,8e610981,0,0,1
9,7,16,3,d10485af,0,1,0
9,7,16,4,d1044709,0,0,1
9,7,16,5,4e610206,1,0,0
10,0,15,0,110394ab,1,0,0
10,0,15,1,e63ce2f,0,0,1
10,0,15,2,8e610981,0,0,1
10,0,15,3,d10485af,1,0,0
10,0,15,4,d1044709,0,1,0
10,0,15,5,4e610206,0,1,0
11,0,30,0,110394ab,0,0,1
11,0,30,1,e63ce2f,0,1,0
11,0,30,2,8e610981,0,1,0
11,0,30,3,d10485af,0,1,0
11,0,30,4,d1044709,0,1,0
11,0,30,5,4e610206,1,0,0
12,15,0,0,110394ab,0,1,0
12,15,0,1,e63ce2f,0,0,1
12,15,0,2,8e610981,0,0,1
12,15,0,3,d10485af,0,1,0
12,15,0,4,d1044709,1,0,0
12,15,0,5,4e610206,0,1,0
13,15,5,0,110394ab,1,0,0
13,15,5,1,e63ce2f,0,1,0
13,15,5,2,8e610981,0,0,1
13,15,5,3,d10485af,0,1,0
13,15,5,4,d1044709,1,0,0
13,15,5,5,4e610206,0,0,1
14,15,10,0,110394ab,1,0,0
14,15,10,1,e63ce2f,0,1,0
14,15,10,2,8e610981,0,0,1
14,15,10,3,d10485af,0,1,0
14,15,10,4,d1044709,1,0,0
14,15,10,5,4e610206,1,0,0
15,20,0,0,110394ab,1,0,0
15,20,0,1,e63ce2f,1,0,0
15,20,0,2,8e610981,0,1,0
15,20,0,3,d10485af,0,0,1
15,20,0,4,d1044709,1,0,0
15,20,0,5,4e610206,0,0,1
16,20,5,0,110394ab,1,0,0
16,20,5,1,e63ce2f,0,1,0
16,20,5,2,8e610981,0,0,1
16,20,5,3,d10485af,0,1,0
16,20,5,4,d1044709,1,0,0
16,20,5,5,4e610206,0,0,1
17,20,15,0,110394ab,0,1,0
17,20,15,1,e63ce2f,1,0,0
17,20,15,2,8e610981,0,0,1
17,20,15,3,d10485af,0,1,0
17,20,15,4,d1044709,1,0,0
17,20,15,5,4e610206,0,0,1
18,20,20,0,110394ab,0,0,1
18,20,20,1,e63ce2f,1,0,0
18,20,20,2,8e610981,0,0,1
18,20,20,3,d10485af,0,1,0
18,20,20,4,d1044709,1,0,0
18,20,20,5,4e610206,0,1,0
19,20,25,0,110394ab,0,1,0
19,20,25,1,e63ce2f,0,1,0
19,20,25,2,8e610981,0,0,1
19,20,25,3,d10485af,0,1,0
19,20,25,4,d1044709,0,1,0
19,20,25,5,4e610206,0,0,1
20,2,15,0,110394ab,0,0,1
20,2,15,1,e63ce2f,0,1,0
20,2,15,2,8e610981,0,1,0
20,2,15,3,d10485af,1,0,0
20,2,15,4,d1044709,0,0,1
20,2,15,5,4e610206,0,1,0
21,3,15,0,110394ab,0,0,1
21,3,15,1,e63ce2f,0,1,0
21,3,15,2,8e610981,0,0,1
21,3,15,3,d10485af,1,0,0
21,3,15,4,d1044709,0,0,1
21,3,15,5,4e610206,1,0,0
22,4,15,0,110394ab,0,0,1
22,4,15,1,e63ce2f,0,1,0
22,4,15,2,8e610981,0,0,1
22,4,15,3,d10485af,1,0,0
22,4,15,4,d1044709,0,0,1
22,4,15,5,4e610206,1,0,0
23,6,15,0,110394ab,0,0,1
23,6,15,1,e63ce2f,0,1,0
23,6,15,2,8e610981,0,0,1
23,6,15,3,d10485af,0,0,1
23,6,15,4,d1044709,1,0,0
23,6,15,5,4e610206,1,0,0
24,7,15,0,110394ab,1,0,0
24,7,15,1,e63ce2f,0,1,0
24,7,15,2,8e610981,0,0,1
24,7,15,3,d10485af,0,0,1
24,7,15,4,d1044709,0,0,1
24,7,15,5,4e610206,1,0,0
25,8,15,0,110394ab,0,1,0
25,8,15,1,e63ce2f,0,0,1
25,8,15,2,8e610981,0,0,1
25,8,15,3,d10485af,0,0,1
25,8,15,4,d1044709,0,0,1
25,8,15,5,4e610206,1,0,0
26,9,15,0,110394ab,0,0,1
26,9,15,1,e63ce2f,0,1,0
26,9,15,2,8e610981,0,0,1
26,9,15,3,d10485af,0,1,0
26,9,15,4,d1044709,0,1,0
26,9,15,5,4e610206,1,0,0
27,10,15,0,110394ab,0,0,1
27,10,15,1,e63ce2f,0,1,0
27,10,15,2,8e610981,0,0,1
27,10,15,3,d10485af,0,1,0
27,10,15,4,d1044709,0,0,1
27,10,15,5,4e610206,0,1,0
28,11,15,0,110394ab,0,1,0
28,11,15,1,e63ce2f,0,1,0
28,11,15,2,8e610981,1,0,0
28,11,15,3,d10485af,0,1,0
28,11,15,4,d1044709,0,0,1
28,11,15,5,4e610206,1,0,0
29,14,15,0,110394ab,0,1,0
29,14,15,1,e63ce2f,0,0,1
29,14,15,2,8e610981,0,1,0
29,14,15,3,d10485af,0,0,1
29,14,15,4,d1044709,0,0,1
29,14,15,5,4e610206,0,1,0
30,0,29,0,110394ab,0,0,1
30,0,29,1,e63ce2f,1,0,0
30,0,29,2,8e610981,1,0,0
30,0,29,3,d10485af,0,0,1
30,0,29,4,d1044709,0,1,0
30,0,29,5,4e610206,0,1,0
31,1,29,0,110394ab,0,0,1
31,1,29,1,e63ce2f,1,0,0
31,1,29,2,8e610981,1,0,0
31,1,29,3,d10485af,0,0,1
31,1,29,4,d1044709,0,1,0
31,1,29,5,4e610206,0,1,0
32,2,29,0,110394ab,0,0,1
32,2,29,1,e63ce2f,0,0,1
32,2,29,2,8e610981,1,0,0
32,2,29,3,d10485af,0,0,1
32,2,29,4,d1044709,0,0,1
32,2,29,5,4e610206,0,0,1
33,3,29,0,110394ab,0,0,1
33,3,29,1,e63ce2f,1,0,0
33,3,29,2,8e610981,1,0,0
33,3,29,3,d10485af,0,0,1
33,3,29,4,d1044709,0,0,1
33,3,29,5,4e610206,0,1,0
34,4,29,0,110394ab,0,0,1
34,4,29,1,e63ce2f,1,0,0
34,4,29,2,8e610981,1,0,0
34,4,29,3,d10485af,0,0,1
34,4,29,4,d1044709,0,1,0
34,4,29,5,4e610206,0,1,0
35,5,29,0,110394ab,0,0,1
35,5,29,1,e63ce2f,1,0,0
35,5,29,2,8e610981,1,0,0
35,5,29,3,d10485af,0,0,1
35,5,29,4,d1044709,0,1,0
35,5,29,5,4e610206,0,1,0
36,6,29,0,110394ab,0,0,1
36,6,29,1,e63ce2f,1,0,0
36,6,29,2,8e610981,1,0,0
36,6,29,3,d10485af,0,0,1
36,6,29,4,d1044709,0,1,0
36,6,29,5,4e610206,0,1,0
37,7,29,0,110394ab,0,0,1
37,7,29,1,e63ce2f,1,0,0
37,7,29,2,8e610981,1,0,0
37,7,29,3,d10485af,0,0,1
37,7,29,4,d1044709,0,1,0
37,7,29,5,4e610206,0,1,0
38,8,29,0,110394ab,0,0,1
38,8,29,1,e63ce2f,1,0,0
38,8,29,2,8e610981,1,0,0
38,8,29,3,d10485af,0,0,1
38,8,29,4,d1044709,0,0,1
38,8,29,5,4e610206,0,0,1
39,9,29,0,110394ab,0,0,1
39,9,29,1,e63ce2f,0,0,1
39,9,29,2,8e610981,1,0,0
39,9,29,3,d10485af,0,0,1
39,9,29,4,d1044709,0,1,0
39,9,29,5,4e610206,0,0,1
40,17,22,0,110394ab,0,0,1
40,17,22,1,e63ce2f,0,0,1
40,17,22,2,8e610981,0,0,1
40,17,22,3,d10485af,0,1,0
40,17,22,4,d1044709,0,0,1
40,17,22,5,4e610206,0,1,0
41,2,28,0,110394ab,0,0,1
41,2,28,1,e63ce2f,0,1,0
41,2,28,2,8e610981,0,0,1
41,2,28,3,d10485af,0,0,1
41,2,28,4,d1044709,0,0,1
41,2,28,5,4e610206,0,0,1
42,11,28,0,110394ab,0,0,1
42,11,28,1,e63ce2f,0,0,1
42,11,28,2,8e610981,1,0,0
42,11,28,3,d10485af,1,0,0
42,11,28,4,d1044709,0,0,1
42,11,28,5,4e610206,0,0,1
43,15,30,0,110394ab,0,1,0
43,15,30,1,e63ce2f,0,1,0
43,15,30,2,8e610981,1,0,0
43,15,30,3,d10485af,1,0,0
43,15,30,4,d1044709,0,1,0
43,15,30,5,4e610206,0,0,1
44,16,24,0,110394ab,0,0,1
44,16,24,1,e63ce2f,0,1,0
44,16,24,2,8e610981,1,0,0
44,16,24,3,d10485af,1,0,0
44,16,24,4,d1044709,1,0,0
44,16,24,5,4e610206,0,0,1
45,20,12,0,110394ab,0,1,0
45,20,12,1,e63ce2f,0,1,0
45,20,12,2,8e610981,0,0,1
45,20,12,3,d10485af,0,1,0
45,20,12,4,d1044709,0,1,0
45,20,12,5,4e610206,0,0,1
46,10,16,0,110394ab,0,1,0
46,10,16,1,e63ce2f,1,0,0
46,10,16,2,8e610981,0,0,1
46,10,16,3,d10485af,0,1,0
46,10,16,4,d1044709,1,0,0
46,10,16,5,4e610206,0,1,0
47,13,17,0,110394ab,0,1,0
47,13,17,1,e63ce2f,0,0,1
47,13,17,2,8e610981,0,0,1
47,13,17,3,d10485af,0,1,0
47,13,17,4,d1044709,0,1,0
47,13,17,5,4e610206,0,0,1
48,10,22,0,110394ab,0,0,1
48,10,22,1,e63ce2f,0,0,1
48,10,22,2,8e610981,0,0,1
48,10,22,3,d10485af,1,0,0
48,10,22,4,d1044709,1,0,0
48,10,22,5,4e610206,0,0,1
49,18,15,0,110394ab,0,0,1
49,18,15,1,e63ce2f,1,0,0
49,18,15,2,8e610981,0,0,1
49,18,15,3,d10485af,0,1,0
49,18,15,4,d1044709,1,0,0
49,18,15,5,4e610206,0,0,1
50,5,0,0,110394ab,0,0,1
50,5,0,1,e63ce2f,0,1,0
50,5,0,2,8e610981,0,0,1
50,5,0,3,d10485af,0,1,0
50,5,0,4,d1044709,0,1,0
50,5,0,5,4e610206,0,0,1
51,10,5,0,110394ab,1,0,0
51,10,5,1,e63ce2f,0,1,0
51,10,5,2,8e610981,1,0,0
51,10,5,3,d10485af,1,0,0
51,10,5,4,d1044709,0,0,1
51,10,5,5,4e610206,1,0,0
52,15,0,0,110394ab,0,1,0
52,15,0,1,e63ce2f,0,1,0
52,15,0,2,8e610981,0,0,1
52,15,0,3,d10485af,0,1,0
52,15,0,4,d1044709,1,0,0
52,15,0,5,4e610206,0,1,0
53,15,5,0,110394ab,1,0,0
53,15,5,1,e63ce2f,1,0,0
53,15,5,2,8e610981,1,0,0
53,15,5,3,d10485af,0,0,1
53,15,5,4,d1044709,1,0,0
53,15,5,5,4e610206,0,0,1
54,10,10,0,110394ab,0,0,1
54,10,10,1,e63ce2f,0,0,1
54,10,10,2,8e610981,1,0,0
54,10,10,3,d10485af,0,1,0
54,10,10,4,d1044709,0,1,0
54,10,10,5,4e610206,0,0,1
55,15,10,0,110394ab,0,1,0
55,15,10,1,e63ce2f,0,1,0
55,15,10,2,8e610981,1,0,0
55,15,10,3,d10485af,0,0,1
55,15,10,4,d1044709,1,0,0
55,15,10,5,4e610206,0,0,1
56,15,20,0,110394ab,0,1,0
56,15,20,1,e63ce2f,0,1,0
56,15,20,2,8e610981,0,1,0
56,15,20,3,d10485af,0,0,1
56,15,20,4,d1044709,0,1,0
56,15,20,5,4e610206,0,1,0
57,20,5,0,110394ab,0,1,0
57,20,5,1,e63ce2f,0,1,0
57,20,5,2,8e610981,0,1,0
57,20,5,3,d10485af,0,1,0
57,20,5,4,d1044709,0,1,0
