huber_f_scale,calibration_kind,huber_eps,huber_alpha,ransac_rt,feat_mode,irls_residual_thresh_m,irls_max_iter,val_StepC_RMSE_m,val_StepC_MAE_m
0.95,huber,1.12,1e-06,,raw,1.2,2,1.6849995411068468,1.3251152989176407
0.95,huber,1.12,1e-06,,raw,1.2,3,1.7161914186823863,1.363306404080612
0.95,huber,1.12,1e-06,,raw,1.6,2,1.6444322701124041,1.2694058538737174
0.95,huber,1.12,1e-06,,raw,1.6,3,1.6625842976187017,1.2914609364317442
0.95,huber,1.12,1e-06,,raw,2.0,2,1.6281153307448044,1.2501106017114922
0.95,huber,1.12,1e-06,,raw,2.0,3,1.6344221576133742,1.2559056485510094
0.95,huber,1.12,1e-06,,raw,2.4,2,1.6202935406292598,1.2415242288658264
0.95,huber,1.12,1e-06,,raw,2.4,3,1.6236986894300927,1.2439286931041957
0.95,huber,1.12,1e-06,,raw,2.8,2,1.6162149930528815,1.2377853975733633
0.95,huber,1.12,1e-06,,raw,2.8,3,1.6179232216907742,1.238852503980804
0.95,huber,1.12,1e-06,,raw,3.2,2,1.6138270452448915,1.2362585107189479
0.95,huber,1.12,1e-06,,raw,3.2,3,1.6146490434366665,1.2366851692779828
0.95,huber,1.12,1e-06,,raw,3.8,2,1.6137339804756998,1.235511672400502
0.95,huber,1.12,1e-06,,raw,3.8,3,1.6138453619981832,1.235637995048903
0.95,huber,1.12,0.0001,,raw,1.2,2,1.6849996597389145,1.3251154604133728
0.95,huber,1.12,0.0001,,raw,1.2,3,1.7161915017932887,1.3633065156134379
0.95,huber,1.12,0.0001,,raw,1.6,2,1.644432338972675,1.269405965890358
0.95,huber,1.12,0.0001,,raw,1.6,3,1.662584395548571,1.2914610799411723
0.95,huber,1.12,0.0001,,raw,2.0,2,1.6281154004367295,1.2501107050088553
0.95,huber,1.12,0.0001,,raw,2.0,3,1.6344222356262839,1.255905760470345
0.95,huber,1.12,0.0001,,raw,2.4,2,1.6202936156637286,1.2415243464567516
0.95,huber,1.12,0.0001,,raw,2.4,3,1.6236987505002942,1.2439287945873188
0.95,huber,1.12,0.0001,,raw,2.8,2,1.6162150591578797,1.2377854943432025
0.95,huber,1.12,0.0001,,raw,2.8,3,1.6179232769330105,1.2388525927260892
0.95,huber,1.12,0.0001,,raw,3.2,2,1.6138271041147763,1.2362586035495222
0.95,huber,1.12,0.0001,,raw,3.2,3,1.6146491055707894,1.2366852603626255
0.95,huber,1.12,0.0001,,raw,3.8,2,1.6137340315379647,1.2355117594814238
0.95,huber,1.12,0.0001,,raw,3.8,3,1.6138454134388691,1.235638086280955
0.95,huber,1.12,0.001,,raw,1.2,2,1.6850003793198052,1.325116469540753
0.95,huber,1.12,0.001,,raw,1.2,3,1.7161922686268138,1.363307521780309
0.95,huber,1.12,0.001,,raw,1.6,2,1.6444329340142336,1.2694069822305576
0.95,huber,1.12,0.001,,raw,1.6,3,1.6625852041330398,1.2914622815444925
0.95,huber,1.12,0.001,,raw,2.0,2,1.628115986254599,1.2501116149056273
0.95,huber,1.12,0.001,,raw,2.0,3,1.6344228480196388,1.2559067232696506
0.95,huber,1.12,0.001,,raw,2.4,2,1.6202941652177334,1.2415252138150745
0.95,huber,1.12,0.001,,raw,2.4,3,1.6236992581882244,1.2439296721451685
0.95,huber,1.12,0.001,,raw,2.8,2,1.616215606115656,1.2377863521163097
0.95,huber,1.12,0.001,,raw,2.8,3,1.6179238361600252,1.2388534626111065
0.95,huber,1.12,0.001,,raw,3.2,2,1.6138276349229856,1.2362594401418754
0.95,huber,1.12,0.001,,raw,3.2,3,1.6146496363308085,1.236686101289062
0.95,huber,1.12,0.001,,raw,3.8,2,1.613734564045274,1.2355126053264853
0.95,huber,1.12,0.001,,raw,3.8,3,1.6138459544483872,1.2356389286691034
0.95,huber,1.35,1e-06,,raw,1.2,2,1.7201939911279374,1.3637070737355443
0.95,huber,1.35,1e-06,,raw,1.2,3,1.7537349718255724,1.4020866385445647
0.95,huber,1.35,1e-06,,raw,1.6,2,1.687158408801091,1.329257385685772
0.95,huber,1.35,1e-06,,raw,1.6,3,1.709898207402805,1.3530749321873963
0.95,huber,1.35,1e-06,,raw,2.0,2,1.6668757304450958,1.3025022803379316
0.95,huber,1.35,1e-06,,raw,2.0,3,1.675259212559539,1.31093924947528
0.95,huber,1.35,1e-06,,raw,2.4,2,1.656539918877215,1.2907003754609017
0.95,huber,1.35,1e-06,,raw,2.4,3,1.6604572209648327,1.2945833975084395
0.95,huber,1.35,1e-06,,raw,2.8,2,1.6519191092030643,1.2857845469530464
0.95,huber,1.35,1e-06,,raw,2.8,3,1.6540043372811306,1.287293600163888
0.95,huber,1.35,1e-06,,raw,3.2,2,1.648976658080989,1.2830164354502251
0.95,huber,1.35,1e-06,,raw,3.2,3,1.650062424391474,1.2837118335950646
0.95,huber,1.35,1e-06,,raw,3.8,2,1.6476976222738178,1.2812644824689088
0.95,huber,1.35,1e-06,,raw,3.8,3,1.6478755510107697,1.2814958890311223
0.95,huber,1.35,0.0001,,raw,1.2,2,1.720194050119379,1.363707148032453
0.95,huber,1.35,0.0001,,raw,1.2,3,1.7537350383924752,1.4020867090155298
0.95,huber,1.35,0.0001,,raw,1.6,2,1.6871584695795003,1.3292574688005128
0.95,huber,1.35,0.0001,,raw,1.6,3,1.709898260621665,1.353075014974461
0.95,huber,1.35,0.0001,,raw,2.0,2,1.6668756830762723,1.3025022211061728
0.95,huber,1.35,0.0001,,raw,2.0,3,1.6752592615029942,1.3109393177552098
0.95,huber,1.35,0.0001,,raw,2.4,2,1.6565399684906832,1.2907004457676048
0.95,huber,1.35,0.0001,,raw,2.4,3,1.660457268031949,1.2945834663646996
0.95,huber,1.35,0.0001,,raw,2.8,2,1.651919153009406,1.2857846094935093
0.95,huber,1.35,0.0001,,raw,2.8,3,1.65400438610746,1.2872936707578733
0.95,huber,1.35,0.0001,,raw,3.2,2,1.648976711104209,1.2830165040328687
0.95,huber,1.35,0.0001,,raw,3.2,3,1.6500624662274532,1.2837118994206769
0.95,huber,1.35,0.0001,,raw,3.8,2,1.6476976618860104,1.2812645463853705
0.95,huber,1.35,0.0001,,raw,3.8,3,1.6478759990873892,1.2814964621177927
0.95,huber,1.35,0.001,,raw,1.2,2,1.7201946208384444,1.363707833455325
0.95,huber,1.35,0.001,,raw,1.2,3,1.7537356282530376,1.4020873596597119
0.95,huber,1.35,0.001,,raw,1.6,2,1.6871589720752909,1.329258214468923
0.95,huber,1.35,0.001,,raw,1.6,3,1.7098987488491306,1.3530755770886969
0.95,huber,1.35,0.001,,raw,2.0,2,1.6668761276674293,1.3025028647376982
0.95,huber,1.35,0.001,,raw,2.0,3,1.675259718935365,1.3109399815688352
0.95,huber,1.35,0.001,,raw,2.4,2,1.6565406670240443,1.2907014350751806
0.95,huber,1.35,0.001,,raw,2.4,3,1.6604579738343415,1.29458447785203
0.95,huber,1.35,0.001,,raw,2.8,2,1.6519195561294084,1.2857852085349766
0.95,huber,1.35,0.001,,raw,2.8,3,1.6540048082611274,1.2872942790765696
0.95,huber,1.35,0.001,,raw,3.2,2,1.6489771095233154,1.2830170915500674
0.95,huber,1.35,0.001,,raw,3.2,3,1.6500632645688746,1.2837129794571516
0.95,huber,1.35,0.001,,raw,3.8,2,1.6476980808955382,1.2812651346587045
0.95,huber,1.35,0.001,,raw,3.8,3,1.6478760189545723,1.2814965494056312
0.95,huber,1.55,1e-06,,raw,1.2,2,1.7502344824044465,1.392731296882783
0.95,huber,1.55,1e-06,,raw,1.2,3,1.788629078043468,1.4372450414224203
0.95,huber,1.55,1e-06,,raw,1.6,2,1.7123675264739366,1.3541454934804078
0.95,huber,1.55,1e-06,,raw,1.6,3,1.7346148137874298,1.3763502727926598
0.95,huber,1.55,1e-06,,raw,2.0,2,1.6922977731684548,1.3294633143977364
0.95,huber,1.55,1e-06,,raw,2.0,3,1.7002761273901266,1.336029400012045
0.95,huber,1.55,1e-06,,raw,2.4,2,1.6818117396311496,1.3197081530541104
0.95,huber,1.55,1e-06,,raw,2.4,3,1.6844140124486244,1.3208662405872311
0.95,huber,1.55,1e-06,,raw,2.8,2,1.6782996884119785,1.3170118724967663
0.95,huber,1.55,1e-06,,raw,2.8,3,1.6792202702708554,1.3172057135163817
0.95,huber,1.55,1e-06,,raw,3.2,2,1.675587304998071,1.314814450502488
0.95,huber,1.55,1e-06,,raw,3.2,3,1.6765493938139227,1.3153446797445965
