use_log1p_mean_var,K_neighbors,RMSE_stepD_val_m,MAE_stepD_val_m,method
False,3,2.4867881008655957,1.8600689419494603,
False,5,2.166981544019665,1.6559492062656047,
False,8,2.008569865842739,1.5519057555224642,
False,12,1.871729302759816,1.4655947583256304,
False,16,1.8245191310083897,1.441662243005123,
False,20,1.7873779240367897,1.4184139319776057,
False,28,1.733105855041536,1.39078454023255,
False,40,1.6798448867887472,1.356721023737414,
True,3,2.2983815559567584,1.7635371082870095,
True,5,2.0935211961531035,1.6482032690352701,
True,8,1.924930374145681,1.534690467956462,
True,12,1.8363282441925055,1.4767576043769088,
True,16,1.798291725920057,1.4572369238344571,
True,20,1.7500394454657784,1.4326370342241939,
True,28,1.7050953501575843,1.394346201852262,
True,40,1.6632492822673577,1.353032022872047,
False,20,1.7873779240367897,1.4184139319776057,train_loocv_candidate
True,16,1.798291725920057,1.4572369238344571,train_loocv_candidate
