step_A_candidate_index,gate_m,uwb_inflate,huber_f_fusion,train_CV_mean_RMSE_step_B_m,selection_objective,irls_thresh,irls_max_iter,train_CV_mean_RMSE_step_C_m
24,1.25,8.0,1.0,2.629870266431845,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.25,8.0,1.2,2.6184738783834582,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.25,8.0,1.35,2.6149773008649824,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.25,10.0,1.0,2.630677295795721,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.25,10.0,1.2,2.619807439679663,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.25,10.0,1.35,2.614832369094315,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.25,16.0,1.0,2.6342791005780715,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.25,16.0,1.2,2.6232096839904924,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.25,16.0,1.35,2.636488406022582,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.25,24.0,1.0,2.6377476287095276,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.25,24.0,1.2,2.6261188678594314,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.25,24.0,1.35,2.6222580295237337,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.4,8.0,1.0,2.6277628625485994,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.4,8.0,1.2,2.615971770995759,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.4,8.0,1.35,2.6120108712697845,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.4,10.0,1.0,2.628130582206639,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.4,10.0,1.2,2.6169320089598145,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.4,10.0,1.35,2.6114653079096444,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.4,16.0,1.0,2.6310813390900263,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.4,16.0,1.2,2.6197236713818413,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.4,16.0,1.35,2.6324648389922887,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.4,24.0,1.0,2.634480039939638,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.4,24.0,1.2,2.622111099267179,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.4,24.0,1.35,2.6177303216687244,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.55,8.0,1.0,2.6508325779694824,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.55,8.0,1.2,2.635625136577236,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.55,8.0,1.35,2.6284355896995297,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.55,10.0,1.0,2.6492684115923644,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.55,10.0,1.2,2.6340385231785386,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.55,10.0,1.35,2.6244962090919746,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.55,16.0,1.0,2.6486049539810717,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.55,16.0,1.2,2.6317865617018694,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.55,16.0,1.35,2.6383602884789026,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.55,24.0,1.0,2.6494814513641147,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.55,24.0,1.2,2.630180752249493,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.55,24.0,1.35,2.6178211649138863,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.7,8.0,1.0,2.656774980472931,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.7,8.0,1.2,2.640855773818792,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.7,8.0,1.35,2.6329821223029164,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.7,10.0,1.0,2.654970676806837,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.7,10.0,1.2,2.638979095301142,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.7,10.0,1.35,2.6287558139842426,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.7,16.0,1.0,2.6536480305273535,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.7,16.0,1.2,2.6361464755085215,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.7,16.0,1.35,2.6420900912199903,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.7,24.0,1.0,2.653848365087054,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.7,24.0,1.2,2.634094351292168,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.7,24.0,1.35,2.6212623351428435,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.85,8.0,1.0,2.6515456798588093,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.85,8.0,1.2,2.6355799357710277,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.85,8.0,1.35,2.628339654245826,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.85,10.0,1.0,2.649936987295024,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.85,10.0,1.2,2.633911126038237,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.85,10.0,1.35,2.6244408319267034,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.85,16.0,1.0,2.6491615386137717,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.85,16.0,1.2,2.631887658856325,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.85,16.0,1.35,2.6387331995120324,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.85,24.0,1.0,2.6499622168132935,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.85,24.0,1.2,2.6306659278793676,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.85,24.0,1.35,2.6187377385858643,min_train_CV_RMSE_step_B_no_IRLS,,,
24,2.0,8.0,1.0,2.656249674963667,min_train_CV_RMSE_step_B_no_IRLS,,,
24,2.0,8.0,1.2,2.6404265667201967,min_train_CV_RMSE_step_B_no_IRLS,,,
24,2.0,8.0,1.35,2.6331364600194673,min_train_CV_RMSE_step_B_no_IRLS,,,
24,2.0,10.0,1.0,2.6537991608347156,min_train_CV_RMSE_step_B_no_IRLS,,,
24,2.0,10.0,1.2,2.6379763107538525,min_train_CV_RMSE_step_B_no_IRLS,,,
24,2.0,10.0,1.35,2.628454151939392,min_train_CV_RMSE_step_B_no_IRLS,,,
24,2.0,16.0,1.0,2.651733711260563,min_train_CV_RMSE_step_B_no_IRLS,,,
24,2.0,16.0,1.2,2.6346577947351366,min_train_CV_RMSE_step_B_no_IRLS,,,
24,2.0,16.0,1.35,2.641476467839036,min_train_CV_RMSE_step_B_no_IRLS,,,
24,2.0,24.0,1.0,2.651802693584422,min_train_CV_RMSE_step_B_no_IRLS,,,
24,2.0,24.0,1.2,2.6327142957389356,min_train_CV_RMSE_step_B_no_IRLS,,,
24,2.0,24.0,1.35,2.620825268117021,min_train_CV_RMSE_step_B_no_IRLS,,,
24,1.4,10.0,1.35,,min_train_CV_RMSE_step_C_given_best_B,2.2,2.0,2.622962786049278
24,1.4,10.0,1.35,,min_train_CV_RMSE_step_C_given_best_B,2.75,2.0,2.6190155941016746
24,1.4,10.0,1.35,,min_train_CV_RMSE_step_C_given_best_B,3.1,2.0,2.618080111606732
