phaseA_rank,feat_mode,calib_kind,huber_f_wifi,gate_threshold_m,uwb_variance_inflate,huber_f_fusion,irls_residual_thresh_m,irls_max_iter,train_CV_mean_RMSE_C_m
2,bias_sub,identity,1.0,1.55,24.0,1.35,3.1,2,2.5494966524489264
2,bias_sub,identity,1.0,1.25,24.0,1.35,3.1,2,2.5508261033947703
2,bias_sub,identity,1.0,1.55,24.0,1.35,2.2,2,2.554047412332595
2,bias_sub,identity,1.0,2.35,24.0,1.35,3.1,2,2.55587724858688
2,bias_sub,identity,1.0,1.25,24.0,1.35,2.2,2,2.556932361705485
2,bias_sub,identity,1.0,1.9,24.0,1.35,3.1,2,2.558240620472457
2,bias_sub,identity,1.0,2.35,24.0,1.35,2.2,2,2.558968910434402
2,bias_sub,identity,1.0,1.9,24.0,1.35,2.2,2,2.562500032717672
2,bias_sub,identity,1.0,2.95,24.0,1.35,3.1,2,2.567617018316675
2,bias_sub,identity,1.0,2.95,24.0,1.35,2.2,2,2.572396077262127
0,bias_sub,huber,1.0,1.25,24.0,1.35,3.1,2,2.6568535290645636
1,bias_sub,huber,1.35,1.25,24.0,1.35,3.1,2,2.6568535290645636
0,bias_sub,huber,1.0,1.55,24.0,1.35,3.1,2,2.658986004766297
1,bias_sub,huber,1.35,1.55,24.0,1.35,3.1,2,2.658986004766297
0,bias_sub,huber,1.0,1.55,10.0,1.35,3.1,2,2.6596872833667202
1,bias_sub,huber,1.35,1.55,10.0,1.35,3.1,2,2.6596872833667202
0,bias_sub,huber,1.0,1.25,10.0,1.35,3.1,2,2.6602896264757865
1,bias_sub,huber,1.35,1.25,10.0,1.35,3.1,2,2.6602896264757865
0,bias_sub,huber,1.0,1.9,10.0,1.35,3.1,2,2.6624944317963597
1,bias_sub,huber,1.35,1.9,10.0,1.35,3.1,2,2.6624944317963597
0,bias_sub,huber,1.0,2.35,10.0,1.35,3.1,2,2.6660742048862276
1,bias_sub,huber,1.35,2.35,10.0,1.35,3.1,2,2.6660742048862276
0,bias_sub,huber,1.0,1.55,10.0,1.35,2.2,2,2.667148693237789
1,bias_sub,huber,1.35,1.55,10.0,1.35,2.2,2,2.667148693237789
0,bias_sub,huber,1.0,1.25,10.0,1.35,2.2,2,2.667441963058342
