trial,mean_cv_rmse_step_c_m,calibration_rank,v3_profile_idx,blend_calib_alpha,knn_residual_neighbors,gate_threshold_m,uwb_variance_inflate,huber_f_fusion,irls_residual_thresh_m
0,2.621444825432931,6,2,0.5,3,1.3090499225152037,23.333550979530962,1.35,2.2
1,2.6989378470373744,2,0,0.35,6,1.8608922243406179,18.357450046278466,1.35,3.1
2,2.618111694407959,6,1,1.0,3,1.5294263916021016,15.93401896472811,1.35,3.1
3,2.6325151348981386,8,2,0.8,3,1.9765233163416238,21.94502552231711,1.35,3.05
4,2.675852168068762,5,3,0.2,0,1.4085002617097213,8.189306666664145,1.2,2.75
5,2.592151804635105,4,1,0.65,0,1.8544778432683269,18.533850846719623,1.2,3.05
6,2.6920410701115824,0,2,0.5,6,1.7096687454637796,20.994428315234185,1.35,2.75
7,2.691541559445257,8,0,0.35,0,1.9956202774102079,16.055029326191026,1.35,3.1
8,2.63357201515856,12,1,0.8,0,1.8288643567743028,9.341555935591286,1.2,2.2
9,2.562390322326586,0,2,1.0,3,1.8771772003816527,21.727948060510577,1.2,2.75
10,2.6440215760744548,0,2,0.8,3,1.7198519308355689,15.06047505987086,1.0,2.75
11,2.574756711039868,4,2,0.65,6,1.2613504590051552,16.281894102976363,1.2,3.05
12,2.6148619460863967,4,2,0.8,6,1.8170991140555244,14.706983487768747,1.35,3.1
13,2.665262583415283,4,1,0.2,0,1.8308200123205327,12.97953049141059,1.0,3.05
14,2.5834118296729685,4,0,0.8,0,1.4596520703474785,17.225200030738534,1.2,2.2
15,2.7040202893829455,6,2,0.5,0,1.8250779209677568,18.2367761269823,1.0,2.2
16,2.6279438281886454,1,4,0.65,3,1.655279032268868,19.517891641000276,1.2,2.75
17,2.6268732346770656,0,4,0.65,3,1.6674399536777447,19.385721125264475,1.2,2.75
18,2.6446492344119785,2,4,0.65,3,1.5924467465165446,19.568540915207585,1.2,3.05
19,2.6372043348094665,2,4,0.65,6,1.580665348785809,11.140971186854175,1.2,3.05
20,2.6388304507980247,2,4,1.0,6,1.2589566031776687,11.992058306129213,1.2,2.75
21,2.6242845270150705,2,4,0.65,6,1.2755659441418115,11.945286863277369,1.2,2.75
22,2.640465735854155,2,4,1.0,6,1.264432220128951,11.75711443046976,1.2,3.05
23,2.5673610820601973,2,4,1.0,6,1.6028739014271893,11.732421960188416,1.2,2.75
24,2.6919434307060945,2,3,0.0,6,1.2728547865050983,12.490954300438808,1.2,2.75
25,2.6865168329329983,8,3,0.0,6,1.355654757173134,23.5691560762709,1.2,3.05
26,2.5387736009781086,9,3,0.0,6,1.3818726444205724,23.52459823660603,1.2,3.05
27,2.697352144630111,2,3,0.0,6,1.37955185367803,23.678488119639454,1.2,3.05
28,2.5521323475940405,10,3,0.0,0,1.4240530500836877,23.55292083297883,1.2,2.2
29,2.6907086102755975,3,3,0.0,6,1.413860693807742,13.649769039839056,1.2,2.75
30,2.6873415306258592,3,3,0.0,6,1.3730861729927044,23.99079800758845,1.2,2.75
31,2.687385921819807,3,3,0.0,6,1.3520740537712723,23.68567677350964,1.2,2.75
32,2.6320189872935025,3,3,1.0,6,1.3956773990146891,23.551439937504938,1.2,2.75
33,2.5519897281035404,10,3,0.0,6,1.3841630288181537,23.587885741697956,1.0,2.75
34,2.6240627241306274,10,3,1.0,6,1.4962784512912677,21.97229853875217,1.0,2.75
35,2.565620633728773,12,3,1.0,3,1.9255229513354404,21.489862761667933,1.0,2.75
36,2.548963669456258,11,3,0.0,3,1.47914241905727,22.24524558624799,1.0,2.2
37,2.549552657376462,11,3,0.0,3,1.4530889623117142,21.963918022143172,1.0,2.2
38,2.6413029995677118,11,3,1.0,3,1.4899033441224663,21.93628289190415,1.0,2.2
39,2.6418016450978254,11,3,1.0,3,1.4842457266205802,20.909659839693862,1.0,2.2
40,2.6429476601654023,11,3,1.0,3,1.5382219015401533,22.109376871668363,1.0,2.2
41,2.6270072792894976,10,2,1.0,3,1.5412141289348582,22.30895362987584,1.2,2.2
