phaseA_rank,feat_mode,calib_kind,huber_f_wifi,gate_threshold_m,uwb_variance_inflate,huber_f_fusion,irls_residual_thresh_m,irls_max_iter,train_CV_mean_RMSE_C_m
0,bias_sub,identity,1.35,1.65,12.0,1.35,3.1,2,2.5138945248154223
0,bias_sub,identity,1.35,1.65,12.0,1.35,3.05,2,2.5142928605463286
0,bias_sub,identity,1.35,1.65,12.0,1.35,2.95,2,2.5152873958307906
0,bias_sub,identity,1.35,1.65,12.0,1.35,2.85,2,2.516655824067453
0,bias_sub,identity,1.35,1.65,12.0,1.35,3.1,3,2.5175291602476366
0,bias_sub,identity,1.35,1.65,24.0,1.35,3.1,2,2.517774482229387
0,bias_sub,identity,1.35,1.65,12.0,1.35,3.05,3,2.5180247240332356
0,bias_sub,identity,1.35,1.65,24.0,1.35,3.05,2,2.5181283929653095
0,bias_sub,identity,1.35,1.65,12.0,1.0,3.1,2,2.518972020722485
0,bias_sub,identity,1.35,1.65,24.0,1.35,2.95,2,2.5190185709852053
0,bias_sub,identity,1.35,1.65,12.0,1.35,2.95,3,2.5191810677597988
0,bias_sub,identity,1.35,1.65,12.0,1.0,3.05,2,2.5194751515181104
0,bias_sub,identity,1.35,1.65,24.0,1.35,2.85,2,2.5202877226688454
0,bias_sub,identity,1.35,1.65,24.0,1.35,3.1,3,2.520585703883391
0,bias_sub,identity,1.35,1.65,12.0,1.35,2.85,3,2.5207050184341937
0,bias_sub,identity,1.35,1.65,12.0,1.0,2.95,2,2.520760122262342
0,bias_sub,identity,1.35,1.65,24.0,1.35,3.05,3,2.5212811971966507
0,bias_sub,identity,1.35,1.65,12.0,1.0,2.85,2,2.5222764505239006
0,bias_sub,identity,1.35,1.65,24.0,1.35,2.95,3,2.5230289967179793
0,bias_sub,identity,1.35,1.65,12.0,1.0,3.1,3,2.523455207481144
0,bias_sub,identity,1.35,1.65,12.0,1.0,3.05,3,2.5242387260699806
0,bias_sub,identity,1.35,1.65,24.0,1.35,2.85,3,2.524816300475754
0,bias_sub,identity,1.35,1.65,12.0,1.0,2.95,3,2.5259715631492896
0,bias_sub,identity,1.35,1.65,12.0,1.0,2.85,3,2.5277903609340178
0,bias_sub,identity,1.35,1.45,8.0,1.35,3.1,3,2.6130828014218275
0,bias_sub,identity,1.35,1.45,8.0,1.35,3.05,3,2.6137222812275276
0,bias_sub,identity,1.35,1.45,8.0,1.35,3.1,2,2.614111602799247
0,bias_sub,identity,1.35,1.45,10.0,1.35,3.1,2,2.614397078004473
0,bias_sub,identity,1.35,1.45,8.0,1.35,3.05,2,2.6145523466423803
0,bias_sub,identity,1.35,1.45,10.0,1.35,3.05,2,2.614851369993348
0,bias_sub,identity,1.35,1.45,8.0,1.35,2.95,3,2.6151421772907417
0,bias_sub,identity,1.35,1.45,12.0,1.35,3.1,2,2.615155207307924
0,bias_sub,identity,1.35,1.45,12.0,1.35,3.05,2,2.6156096845728967
0,bias_sub,identity,1.35,1.45,8.0,1.35,2.95,2,2.6156820986678615
0,bias_sub,identity,1.35,1.45,10.0,1.35,2.95,2,2.615985494593833
0,bias_sub,identity,1.35,1.45,8.0,1.35,2.85,2,2.6166493590986075
