trial,mean_cv_rmse_step_c_m,calibration_rank,v3_profile_idx,blend_calib_alpha,knn_residual_neighbors,gate_threshold_m,uwb_variance_inflate,huber_f_fusion,irls_residual_thresh_m
0,2.600269573073896,2,0,0.5,0,1.4,10.0,1.35,3.1
1,2.5348861648280514,0,0,0.0,0,1.69,13.83,1.2,3.1
2,2.534564496997169,1,0,0.5,0,1.53,14.0,1.2,3.05
3,2.604900087609932,6,1,0.8,6,1.671121983639798,22.368233508319964,1.0,3.1
4,2.757625869306072,9,1,0.0,0,1.8022719623312624,15.448132821595078,1.35,3.05
5,2.653112229360501,5,4,0.8,6,1.6341625000750541,15.271627714037258,1.35,2.2
6,2.653955349552085,7,2,0.8,3,1.6999311147919247,13.18179151549272,1.0,2.75
7,2.6792994202533795,3,1,0.2,3,1.513068146366765,21.85680339305714,1.35,3.1
8,2.627647597561458,5,1,0.65,0,1.267198738621429,19.418382730023936,1.2,3.05
9,2.6124487513490906,11,4,0.8,0,1.6104858657453673,13.550374430270722,1.35,3.05
10,2.559130049545207,4,3,1.0,3,1.7158468712566308,19.685460698917836,1.35,3.05
11,2.6089070906316643,11,2,1.0,6,1.397139314315205,14.276449461345319,1.35,3.05
12,2.6878566737812086,2,0,0.35,6,1.3045019160205293,23.772900016309062,1.35,2.2
13,2.6082977530558886,0,2,1.0,3,1.387781444374924,14.897974365291521,1.35,3.05
14,2.577029966353851,7,4,1.0,6,1.7664638217250177,13.977756761608052,1.0,3.05
15,2.7241756651254003,8,2,0.0,6,1.8435109103024514,17.999867473723324,1.35,2.2
16,2.5537794353694494,0,0,0.5,0,1.9955116412191092,10.537535959146561,1.2,2.75
17,2.5540760428520777,0,0,0.5,0,1.9568769299809023,11.231119875269888,1.2,2.75
18,2.554123221650532,0,0,0.5,0,1.967920376471543,10.403681874622947,1.2,2.75
19,2.5540884506944432,0,0,0.5,0,1.961714806413976,10.693398055853034,1.2,2.75
20,2.5425143542846285,0,0,0.5,0,2.0314726560600236,10.311118097341117,1.2,2.75
21,2.554138870081359,0,0,0.5,0,1.956440356177867,10.556256774786021,1.2,2.75
22,2.5537430386529567,0,0,0.5,0,2.0073141487485513,10.951336951155632,1.2,2.75
23,2.534473967162839,1,0,0.5,0,1.531727203746317,8.004589228309271,1.2,3.1
24,2.7311095710652045,2,0,0.0,0,1.5496306188991904,8.25241063314272,1.2,3.1
25,2.73099042866715,2,0,0.0,0,1.5470175938505542,12.315373504821856,1.2,3.1
26,2.728022403939774,2,1,0.0,0,1.523674849438846,8.3455362530955,1.2,3.1
27,2.7280538701932677,2,1,0.0,0,1.5334210387636151,8.065822215852092,1.2,3.1
28,2.732174197210783,2,1,0.0,0,1.553217669505187,17.067568288174623,1.2,3.1
29,2.7278856135658365,2,1,0.0,0,1.545017254245749,8.191001011741657,1.2,3.1
30,2.728011858518767,2,1,0.0,0,1.5202050751470106,8.449839531849943,1.2,3.1
31,2.69121002589686,2,1,0.2,0,1.4986340135697327,17.159021880850098,1.2,3.1
32,2.6932200958027526,2,1,0.35,0,1.5189396067843137,16.74245554224433,1.2,3.1
33,2.6932848290047704,3,1,0.35,0,1.4847254483056858,17.188160216656502,1.2,3.1
34,2.6908355180985972,3,1,0.2,0,1.4796872145274182,17.289389714524255,1.2,3.1
35,2.61661137136551,4,3,0.65,0,1.4684172848867885,17.24691004365937,1.2,3.1
36,2.5349750956213852,1,3,0.35,0,1.4632330611826334,16.689446015563313,1.0,3.1
37,2.530671892551341,1,0,0.5,0,1.4562402842909017,12.300117932323495,1.2,3.1
38,2.5307241127465137,1,0,0.5,0,1.4537609723332734,12.589394444952777,1.2,3.1
39,2.557203244917071,1,0,0.5,0,1.8879545468308434,12.275036086749257,1.0,2.2
40,2.629695430306569,1,0,0.5,0,1.4421503905632598,12.428375028867194,1.0,2.2
41,2.5521615476716604,1,0,0.5,0,1.824915930904509,9.46873475037032,1.0,2.2
