phase_a_rank,iso_ap_mask,jwt_wifi_soft_enable,w_jwt_triangle,w_jwt_ransac,gate_threshold_m,uwb_variance_inflate,huber_f_fusion,irls_residual_thresh_m,mean_cv_rmse_step_c_m,trial
1,60,1,2.993292420985183,0.8581025224334009,1.5151906845715446,10.813170570354792,1.3031616510212274,2.741003510568888,2.854922782760335,0
2,1,1,4.162213204002109,1.1678651087305187,1.5591024442520711,12.567663137948074,1.1064847850358381,2.6722807884690143,2.528008907855351,1
1,18,1,0.6974693032602092,1.6067955669437,1.872815133599276,16.384979779038503,1.2748115864875549,2.379706403942524,3.295285738924676,2
1,37,0,3.0377242595071916,0.9378826802801035,1.360587708074975,23.284397521546666,1.3379712115760958,2.927557613304815,3.037185277732658,3
0,6,1,2.2007624686980067,0.6712102916462835,2.0918007471891595,10.481439295613058,1.3182621407275739,2.4329019834400154,3.0921340734878453,4
1,19,1,2.7335513967163982,1.0166995053903987,2.89829386719975,20.851859527055602,1.3288246295474662,3.005344615384884,3.57928494978391,5
1,58,0,0.979914312095726,0.24875008900795936,1.8030615622975494,15.441482055652749,1.0949721611208636,2.9458637582367366,3.75047078489391,6
1,17,1,0.7046211248738132,4.412083394147218,1.3767360942556104,23.816417112407244,1.2702856692538302,2.3788441133807554,3.122684551475197,7
0,52,1,3.6450358402049368,4.241986906772701,1.3758759079479537,15.018520199619816,1.0405541708337953,2.976793083288034,2.96026786512968,8
1,21,0,1.554911608578311,1.7885082711471088,2.490330503174709,18.925804598972984,1.3105244599017143,2.6249934326457547,3.313174790916706,9
2,0,0,4.762904054253752,3.001450540452185,2.423420025067547,13.576208422712785,1.1414091252065257,2.6313656554623535,2.581217786141959,10
2,0,0,4.856075751261573,2.961742053469643,2.444588695688598,12.799156909126625,1.1622571493623925,2.6350770735844935,2.5802693730007564,11
2,6,0,4.993295036604259,3.2679665055218523,2.470168169008983,12.542941143810559,1.200958876952528,2.774546594944936,2.9867116903291433,12
2,35,0,4.049830638482714,2.2726893273061606,2.7475539682177637,13.353321538567318,1.1852714313155492,2.517641390989407,3.1631599110334583,13
2,0,0,4.209681375680994,5.470784940709189,2.1529108515974826,17.84360121029922,1.1152391147379226,2.7870994810005816,2.5857756111904777,14
2,11,1,3.775551632314622,3.632999893177888,1.6919944654720276,12.352382106020842,1.003523013309377,2.538137414239316,3.583300334662571,15
2,26,0,4.374531688179384,2.394687546729861,2.159488224529989,10.014391608424628,1.2299638272583315,2.2118612929428316,3.7037176631424464,16
2,48,1,3.436255660438629,1.7285759218816417,1.9913697170728764,14.484756293610838,1.0838292891514312,2.816620409674883,2.7027875334588978,17
2,11,1,0.041651143982850414,3.8056222653870213,2.365274518516612,11.867466695839008,1.138869812065333,2.6679085596594545,3.3911383959219212,18
0,27,0,4.5965811910982515,2.3953195638141547,1.6099072477587868,16.9748703434448,1.059353535285713,2.8679682794406935,4.407632234671662,19
2,9,0,2.077797247861972,0.08261666394128042,2.6755980134000565,19.773352960075613,1.1515815618337477,3.0944585065447376,2.941228585870524,20
2,1,0,4.945921702135127,3.0901494380797065,2.3170929132132545,13.904304901027357,1.1533937304923643,2.6528545195557545,2.587989042303818,21
2,0,0,4.694000691429256,2.927718219724226,2.580955892682332,11.807809435034622,1.2174516412892318,2.528744758278763,2.575456195039286,22
2,5,0,4.203480048417468,2.7077938297147566,2.6838450303824577,11.736285194812993,1.227915505027551,2.5070959147431067,2.6916198746196778,23
2,11,0,4.5197658757641,1.986862638535375,2.592544561265937,11.39902093950556,1.2220939052253665,2.552898469686273,3.663523044488231,24
2,15,0,3.3960557771380335,1.3605743079395929,2.940658844366178,12.994097865080803,1.1208480118500141,2.701048927401374,3.763011854361649,25
2,4,1,4.010065878236589,3.6584604618427052,2.290482015299531,15.94115756539902,1.1797445334030028,2.4128568591801502,2.562952915001405,26
2,43,1,3.895164161417118,4.9161233745408275,2.2404923308310916,15.885473691668409,1.1917342382493044,2.219356104592934,3.2416140371393545,27
1,5,1,3.28888575701734,3.744086257500104,1.9663576453536717,18.175474891071687,1.2467224001669166,2.29548487575383,2.8771349108720643,28
1,26,1,2.580009077766717,3.4534288407770006,1.5540835034354596,11.22207694249352,1.2642444321562776,2.4410549234533407,3.696033290047143,29
2,14,1,2.9972459916250465,4.503184025266551,2.8116884527717665,14.573788896169924,1.2078057917969416,2.31629248455387,3.27597435713221,30
2,4,1,4.572783750097708,2.9143201228716586,2.562385589005821,12.694228508506399,1.1669050656205482,2.5873688682288143,2.5885479200913766,31
2,1,1,4.035330931928461,4.0586821820519035,2.299221872261751,10.906932445060363,1.169906705489828,2.7153806641560743,2.5496694461003,32
2,2,1,3.649824429517924,4.033012848263565,2.28861396443935,10.64058419010192,1.1150751625077404,2.706328712619851,2.9339188077076006,33
2,7,1,4.029716422619722,4.863153603665754,2.078118810261248,22.264750556212906,1.1699202328554668,2.4702582944258182,3.3354331856141335,34
1,9,1,4.315077620588051,3.460755623740826,1.8206033735844782,10.109954262364463,1.2943541260344853,2.859883961223641,2.959173090729329,35
2,22,1,3.213614331177667,0.6168984366315208,2.214806861567658,16.46106285192952,1.0849432882743486,2.3553575420977895,3.394290575081817,36
2,14,1,2.3213845288453263,1.3081363716171472,1.9628994920426865,11.193650538727026,1.1803671814806982,2.7324011092566236,3.3641284551600443,37
0,3,1,1.8417877474088742,4.059138921898699,1.3053692553895067,13.847151307189549,1.255266351120235,2.5894803121302927,3.4157947824756882,38
1,7,1,3.6713891259167384,4.712002724189542,2.546156912140688,11.9956864266982,1.2073747131256027,2.408226789652656,3.211400462550582,39
1,58,1,2.8054018917510932,2.56249213170136,2.354713810970739,15.68519960080392,1.1270591741831975,2.4702042603171233,3.4950484488822844,40
2,0,0,4.644572330400877,3.2901577811830194,2.4163776280554843,10.704969612915031,1.1676226314968168,2.5948164141275116,2.5809900739709044,41
2,4,1,4.855781482037393,2.70745142555053,2.6226927017560615,14.39895445940347,1.0993787853636632,2.665779039516437,2.584471853444475,42
2,0,0,4.3884787299730315,2.170944969462096,2.489004752370785,12.989046736160693,1.1584165506060562,2.764170198465854,2.5777426795829887,43
2,8,0,4.046803391272142,2.03943300100058,2.5251275855718487,13.442244435719424,1.1420661120345406,2.756564077306468,2.6496384513087357,44
2,3,1,4.358250267808511,0.8022572081335616,2.826933024813453,14.954117089893428,1.067682089014736,2.814059574556702,3.1301619648227645,45
2,18,0,3.8967249320627824,1.0829065032743403,2.1138164771365675,12.101122324375288,1.1951892105026456,2.873894449645841,3.4161024523353576,46
2,0,1,4.4338244856831075,0.44364881318189653,2.242682647304843,10.989889064735582,1.2925660632816804,2.6988083179098123,2.5821246801756526,47
2,10,0,4.727272483019946,4.022742810956292,2.402412686336365,12.96932380189896,1.2443590625629413,2.4860046475353528,3.2137707339862884,48
2,3,1,4.1646571629447555,2.0907411561505422,1.7310171893594906,17.69471863845228,1.2135606254734803,2.5519913334349913,3.235054622915303,49
1,40,0,3.458456540087008,1.5475248721853407,1.4441561265328713,19.81243612800143,1.0292940413509168,2.7960436673113467,2.9501128431579495,50
2,0,0,4.804120733615036,3.148614726461272,2.4662055729889816,12.324230145450878,1.1565958024046155,2.6130810528127557,2.5798837573513986,51
2,6,0,4.994916690889895,3.1903625673774636,2.5020616068918704,12.401730420366187,1.1026875370724247,2.6185084159773027,2.983522971647073,52
2,63,0,4.7741138091509745,3.5522374463042876,2.45977987371406,11.684791271892323,1.1802690791425852,2.731575224412937,4.136027352697037,53
2,2,0,4.460971497618864,3.88318027538295,2.660475287219703,13.328883192596377,1.134591546855338,2.9101757640889696,3.0202144806222813,54
