Node_x,Node_y,n,mean_delta,median_delta
3,4,1,-0.6021619226800166,-0.6021619226800166
3,12,1,-0.21033049317930796,-0.21033049317930796
3,24,1,-0.13980369493296108,-0.13980369493296108
2,8,2,-0.1273150410144629,-0.1273150410144629
5,12,1,-0.11245438208629238,-0.11245438208629238
6,12,1,-0.11154095724439017,-0.11154095724439017
2,2,3,-0.09940340964231466,-0.0003555411148646326
5,25,5,-0.08197938036330976,0.0008305143681256455
12,25,1,-0.07595553067488159,-0.07595553067488159
5,13,1,-0.06948336469471128,-0.06948336469471128
10,20,5,-0.06817446725587917,-0.0004821507992683882
10,25,5,-0.05473374531218604,-0.00574742472258527
10,3,1,-0.05291607539393183,-0.05291607539393183
19,30,1,-0.05008950839424897,-0.05008950839424897
15,17,1,-0.04855158767826517,-0.04855158767826517
3,15,3,-0.04069072060129179,0.0018012708023413815
9,18,1,-0.0377385696154664,-0.0377385696154664
20,20,2,-0.03283303476049593,-0.03283303476049593
6,3,1,-0.03272104726545999,-0.03272104726545999
4,15,2,-0.030458554148342004,-0.030458554148342004
17,23,1,-0.026365166531028272,-0.026365166531028272
1,9,1,-0.02439624185050393,-0.02439624185050393
9,8,1,-0.02367463100988787,-0.02367463100988787
11,0,1,-0.023147418910639095,-0.023147418910639095
6,25,1,-0.02128449701105506,-0.02128449701105506
9,3,1,-0.02070983944605287,-0.02070983944605287
17,17,1,-0.01944330429846719,-0.01944330429846719
3,0,1,-0.018497375439174624,-0.018497375439174624
18,3,1,-0.016516129220233933,-0.016516129220233933
0,5,1,-0.016292799334170827,-0.016292799334170827
6,27,1,-0.015919236994159758,-0.015919236994159758
15,5,4,-0.01466800321796402,0.00016418969244488824
3,27,1,-0.014144086343478968,-0.014144086343478968
5,20,3,-0.01413230245318653,-0.009407852482473889
17,10,1,-0.01352476127734481,-0.01352476127734481
11,27,1,-0.012885565603310667,-0.012885565603310667
7,5,1,-0.010937726261174507,-0.010937726261174507
12,11,1,-0.010603010583295491,-0.010603010583295491
15,25,3,-0.010507051045834511,-0.01231531675207842
5,27,1,-0.010229343220392262,-0.010229343220392262
19,27,1,-0.010042908713678134,-0.010042908713678134
13,24,1,-0.0091796620035004,-0.0091796620035004
6,22,1,-0.008135003637085858,-0.008135003637085858
7,15,2,-0.007364763420980802,-0.007364763420980802
20,25,1,-0.006457731829311086,-0.006457731829311086
3,13,1,-0.006313627069212124,-0.006313627069212124
14,23,1,-0.006191919156178338,-0.006191919156178338
6,18,1,-0.0058421222256273,-0.0058421222256273
4,7,1,-0.00583353769357986,-0.00583353769357986
10,27,1,-0.005784341848239727,-0.005784341848239727
12,13,1,-0.0054624552409081595,-0.0054624552409081595
16,25,1,-0.004608519325085103,-0.004608519325085103
14,20,1,-0.004360864619562033,-0.004360864619562033
1,6,1,-0.004097829755938753,-0.004097829755938753
11,25,2,-0.00379890412730155,-0.00379890412730155
13,2,1,-0.0037583950386851916,-0.0037583950386851916
20,30,2,-0.003598016511229929,-0.003598016511229929
4,3,1,-0.0035015615797271415,-0.0035015615797271415
10,10,5,-0.0033355793528999757,-0.008631528514455589
15,15,3,-0.0032793803109845143,-0.0026017569841167987
12,24,1,-0.002635767158505109,-0.002635767158505109
9,24,1,-0.002575286526780962,-0.002575286526780962
15,20,6,-0.0024784164787626053,-0.0018899245104629925
10,12,1,-0.002429061807577959,-0.002429061807577959
3,2,1,-0.001854759064292888,-0.001854759064292888
11,28,1,-0.0017350403028915107,-0.0017350403028915107
18,27,1,-0.001641897193616293,-0.001641897193616293
16,20,2,-0.001499740301830088,-0.001499740301830088
2,6,1,-0.0014641313271390732,-0.0014641313271390732
15,8,1,-0.0008929007758508023,-0.0008929007758508023
5,0,3,-0.0006238054994841905,-0.00017824865987536853
13,7,1,-0.00028835079541822406,-0.00028835079541822406
19,21,1,-0.00020997162383184186,-0.00020997162383184186
10,5,4,-0.00014950049014926525,0.0018677709826406541
18,28,1,-0.00012134009153164094,-0.00012134009153164094
15,30,1,0.0,0.0
17,8,1,0.0,0.0
18,2,1,8.635706011894673e-06,8.635706011894673e-06
0,20,1,6.326806205486646e-05,6.326806205486646e-05
2,3,1,0.00013575118406983222,0.00013575118406983222
0,0,1,0.0001377203063248622,0.0001377203063248622
8,13,1,0.0003448840766967498,0.0003448840766967498
1,27,1,0.00044553777695588437,0.00044553777695588437
7,4,1,0.0004499510542586571,0.0004499510542586571
19,29,1,0.00048385159376562736,0.00048385159376562736
13,20,1,0.00048520689415176843,0.00048520689415176843
5,8,2,0.0005577389107419006,0.0005577389107419006
16,15,1,0.0005803834535060837,0.0005803834535060837
3,26,1,0.0006765951020298866,0.0006765951020298866
13,25,1,0.0008389251593576841,0.0008389251593576841
0,15,1,0.0008993810934256885,0.0008993810934256885
1,1,1,0.000907179868220559,0.000907179868220559
1,0,1,0.0009450496418609289,0.0009450496418609289
9,25,1,0.0010520895400407682,0.0010520895400407682
5,18,1,0.0016290994035306205,0.0016290994035306205
12,19,1,0.001804716558356123,0.001804716558356123
15,9,1,0.0022021022630211995,0.0022021022630211995
17,9,1,0.00242116553492977,0.00242116553492977
4,6,1,0.0024884840427380484,0.0024884840427380484
0,4,1,0.002501049061100602,0.002501049061100602
13,4,1,0.0026326046743357923,0.0026326046743357923
1,3,3,0.0029477962340061317,-5.2227501409318755e-05
17,20,2,0.0030964594194256567,0.0030964594194256567
4,10,1,0.0031306050666985996,0.0031306050666985996
7,27,2,0.003333859989578414,0.003333859989578414
10,7,1,0.0035867407219040137,0.0035867407219040137
18,20,1,0.0036458976175975932,0.0036458976175975932
7,9,1,0.0037093013695099764,0.0037093013695099764
8,18,1,0.0037289807565298316,0.0037289807565298316
14,25,1,0.003782106213219505,0.003782106213219505
11,26,1,0.003950521870638823,0.003950521870638823
16,18,1,0.0044126013952405785,0.0044126013952405785
2,15,1,0.005594391422163669,0.005594391422163669
17,16,1,0.006024431484090931,0.006024431484090931
19,20,1,0.006124790444277689,0.006124790444277689
16,4,1,0.006394194918738494,0.006394194918738494
18,9,1,0.0067741042844269295,0.0067741042844269295
14,13,1,0.006904050027424502,0.006904050027424502
