Node_x,Node_y,n,mean_delta,median_delta
3,12,1,-0.5484846596019954,-0.5484846596019954
10,26,1,-0.3128759002695731,-0.3128759002695731
3,24,1,-0.16637874381293472,-0.16637874381293472
10,25,5,-0.1581140858192319,0.014226241600936829
2,2,3,-0.15150032108812508,-0.00497276151847581
3,4,1,-0.10424281940427793,-0.10424281940427793
20,0,4,-0.07182622226219965,0.009270838705170648
5,23,2,-0.06355801891743273,-0.06355801891743273
5,25,5,-0.05168618419413499,-0.005197383748702933
5,18,1,-0.04419794730635562,-0.04419794730635562
4,7,1,-0.027677389890803594,-0.027677389890803594
17,10,1,-0.025619375144319223,-0.025619375144319223
19,30,1,-0.024142819991509246,-0.024142819991509246
5,12,1,-0.02327347056161111,-0.02327347056161111
19,27,1,-0.022806843484727474,-0.022806843484727474
2,15,1,-0.021292629502280835,-0.021292629502280835
2,23,1,-0.02066258284897149,-0.02066258284897149
18,28,1,-0.019652751344586328,-0.019652751344586328
15,10,1,-0.01832665737832495,-0.01832665737832495
1,6,1,-0.01763071355654322,-0.01763071355654322
8,25,1,-0.017565599448816305,-0.017565599448816305
9,3,1,-0.01743800202663437,-0.01743800202663437
7,25,2,-0.01726932296254302,-0.01726932296254302
6,7,1,-0.01724010073707405,-0.01724010073707405
17,17,1,-0.01701115911460871,-0.01701115911460871
15,5,4,-0.015852291720980266,0.0003422222572617706
4,10,1,-0.014977308987827787,-0.014977308987827787
19,29,1,-0.014930968813317014,-0.014930968813317014
1,0,1,-0.01420716183840609,-0.01420716183840609
2,8,2,-0.012564543575928677,-0.012564543575928677
10,12,1,-0.0123017240594398,-0.0123017240594398
3,0,1,-0.011962501586714414,-0.011962501586714414
6,12,1,-0.01188725738964358,-0.01188725738964358
1,1,1,-0.011762196525419988,-0.011762196525419988
12,16,1,-0.011365447127273526,-0.011365447127273526
1,7,1,-0.011259993262039636,-0.011259993262039636
1,9,1,-0.011120653431154315,-0.011120653431154315
17,23,1,-0.010682528460430163,-0.010682528460430163
4,6,1,-0.010050733763689257,-0.010050733763689257
14,25,1,-0.009793998242993984,-0.009793998242993984
5,11,1,-0.00969256660845963,-0.00969256660845963
20,30,2,-0.009313387879155144,-0.009313387879155144
5,0,3,-0.009013120283908585,-0.006122252301472342
2,27,1,-0.008496024941172742,-0.008496024941172742
7,4,1,-0.00749507319245335,-0.00749507319245335
8,13,1,-0.007154700836855377,-0.007154700836855377
13,25,1,-0.006865112536756257,-0.006865112536756257
2,6,1,-0.006503130353021858,-0.006503130353021858
10,20,5,-0.006039366325978379,0.0034043909948537343
11,0,1,-0.005653021684321136,-0.005653021684321136
4,18,1,-0.005250456752392552,-0.005250456752392552
7,27,2,-0.005174021866645506,-0.005174021866645506
0,4,1,-0.004964631537086817,-0.004964631537086817
5,13,1,-0.004562375835407639,-0.004562375835407639
13,20,1,-0.0045607814804162206,-0.0045607814804162206
9,8,1,-0.004514964595641491,-0.004514964595641491
20,25,1,-0.0040921036726082605,-0.0040921036726082605
19,20,1,-0.0037097381601689794,-0.0037097381601689794
9,18,1,-0.003117353395224731,-0.003117353395224731
15,9,1,-0.002988438333330762,-0.002988438333330762
12,13,1,-0.002801011615745086,-0.002801011615745086
18,2,1,-0.0021472522208296763,-0.0021472522208296763
7,5,1,-0.002133218465513398,-0.002133218465513398
18,8,2,-0.002113070005556772,-0.002113070005556772
16,15,1,-0.00205142669600189,-0.00205142669600189
12,19,1,-0.0019786507737972747,-0.0019786507737972747
18,20,1,-0.0019355603940457433,-0.0019355603940457433
4,17,1,-0.0018870716537553456,-0.0018870716537553456
17,3,1,-0.0017107036632637573,-0.0017107036632637573
17,16,1,-0.0015626599149390907,-0.0015626599149390907
5,27,1,-0.0014452213574005501,-0.0014452213574005501
13,4,1,-0.0013764094666841031,-0.0013764094666841031
7,15,2,-0.001334751334733264,-0.001334751334733264
16,20,2,-0.0013035837475573464,-0.0013035837475573464
18,9,1,-0.0011163747875584384,-0.0011163747875584384
9,27,1,-0.0009716474935809738,-0.0009716474935809738
5,10,7,-0.0009433637193297294,-0.004302093258723438
9,24,1,-0.0009336087695126505,-0.0009336087695126505
10,5,4,-0.0008449625818434288,-0.0004109481761109604
11,20,1,-0.0008417955623542528,-0.0008417955623542528
