phase,trial,composite_loss,mean_cv_rmse_step_a_m,mean_cv_rmse_step_c_m,calibration_rank,v3_profile_idx,blend_calib_alpha,knn_residual_neighbors,gate_threshold_m,uwb_variance_inflate,huber_f_fusion,irls_residual_thresh_m
composite_stepA_stepC,0,2.6593260048225735,2.650860030657407,2.6663088886230395,0,3,0.2,0,1.7418764720678408,16.67466922164584,1.12,2.45
composite_stepA_stepC,1,2.7477525463975594,2.8344206012939375,2.6762672164465315,2,3,0.35,3,1.9016301854019795,16.855736169918085,1.12,3.05
composite_stepA_stepC,2,2.6332573027262396,2.5860280118310617,2.672212849231021,5,5,0.65,6,1.1797940369410436,15.235026367195408,1.12,3.05
composite_stepA_stepC,3,2.7075509133098588,2.677944900509161,2.7319704713133537,16,1,0.45,0,2.4940734271718723,30.638163780437424,1.0,2.45
composite_stepA_stepC,4,2.6178363073383775,2.554011852018458,2.670479836178894,2,4,0.55,6,1.1978464484230422,15.262131246900296,1.0,2.75
composite_stepA_stepC,5,2.6214474036163438,2.5509840985191965,2.679566772054136,3,7,0.65,0,2.2131945829651336,14.475496036788252,1.12,2.45
composite_stepA_stepC,6,2.609452934660201,2.5829097804194565,2.6313461932675293,5,7,0.55,6,2.771015089620051,18.0331267001351,1.12,3.05
composite_stepA_stepC,7,2.623673189435966,2.55435578616863,2.680847397970338,3,1,0.65,0,2.0761443764636818,27.898593578969013,1.0,2.45
composite_stepA_stepC,8,2.625412266953666,2.579586819956214,2.6632098984187182,1,3,0.45,0,1.7537633125725076,15.727650489491522,1.0,3.05
composite_stepA_stepC,9,2.797377054473631,2.878840292015315,2.7301847490560376,16,5,0.85,3,2.443794800966674,29.098974198307864,1.0,3.05
composite_stepA_stepC,10,2.653757092175308,2.6190604805392512,2.6823754652765808,14,7,0.75,6,2.1690489995058724,28.280337223464194,1.12,2.45
composite_stepA_stepC,11,2.6301076036853197,2.5389252348369062,2.7053164188668575,10,2,0.75,6,2.3656053541660906,23.73402563691468,1.0,3.05
