phase,trial,composite_loss,mean_cv_rmse_step_a_m,mean_cv_rmse_step_c_m,calibration_rank,v3_profile_idx,blend_calib_alpha,knn_residual_neighbors,gate_threshold_m,uwb_variance_inflate,huber_f_fusion,irls_residual_thresh_m
composite_stepA_stepC,0,2.771773621109592,2.813660737613219,2.737224393628497,14,3,0.75,3,1.8674780328692289,17.90064831695197,1.0,3.05
composite_stepA_stepC,1,2.621981533288822,2.5485743050605536,2.6825291010975394,1,4,0.85,6,1.2573368559802434,22.191367530516395,1.12,2.45
composite_stepA_stepC,2,2.616128427239563,2.571483135062174,2.6529526463347817,0,6,1.0,0,1.3396059194164875,15.938657726120427,1.12,3.05
composite_stepA_stepC,3,2.618298741175761,2.5516347532453243,2.6732843662570693,1,5,0.65,0,2.2594540878361746,21.65230446093809,1.12,2.45
composite_stepA_stepC,4,2.6532528121487573,2.5919147537318676,2.7038455172663376,10,4,1.0,0,1.155961318759963,17.397909403977557,1.0,3.05
composite_stepA_stepC,5,2.7119495341174806,2.686662076041149,2.732807072530805,17,3,0.35,0,1.2483851518209692,14.858029452079103,1.0,3.05
composite_stepA_stepC,6,2.626100796490586,2.563617012870236,2.6776385158270792,11,5,0.55,0,2.0228701693889013,32.092556320349445,1.0,2.45
composite_stepA_stepC,7,2.6219241041560055,2.550567222595356,2.6807805101147886,0,7,0.85,6,2.767788494890672,28.1622571321631,1.12,2.75
composite_stepA_stepC,8,2.627000388978539,2.571483135062174,2.672791992573788,0,7,1.0,6,2.74803965209167,27.474699595664976,1.12,2.75
composite_stepA_stepC,9,2.636407946099978,2.571483135062174,2.689959067612911,0,7,1.0,6,2.784831725773393,27.491371054494262,1.12,2.75
composite_stepA_stepC,10,2.6142562354965664,2.5845051373087897,2.6387954624689653,0,7,0.2,6,2.662163450190619,28.45712064567171,1.12,2.75
composite_stepA_stepC,11,2.6354000131664455,2.618548419371153,2.6492995029392046,5,7,0.45,6,2.737242008544443,28.527220433111168,1.12,2.75
