phase,trial,composite_loss,mean_cv_rmse_step_a_m,mean_cv_rmse_step_c_m,calibration_rank,v3_profile_idx,blend_calib_alpha,knn_residual_neighbors,gate_threshold_m,uwb_variance_inflate,huber_f_fusion,irls_residual_thresh_m
composite_stepA_stepC,0,2.6017876071072843,2.5598779134888674,2.6363554565881677,6,6,0.85,0,2.0484513640969144,16.631168691352283,1.12,2.75
composite_stepA_stepC,1,2.675478479149584,2.6464578340470206,2.699415215621041,1,0,0.35,6,2.5333254860899155,24.747231939565694,1.0,2.75
composite_stepA_stepC,2,2.6308040056203663,2.5342355610330145,2.710455350425992,2,7,0.65,0,2.350493270236358,15.22994093430586,1.12,2.45
composite_stepA_stepC,3,2.652656329376624,2.59741401825849,2.6982211553353763,6,7,0.2,6,2.3968012240581062,21.664612039206666,1.0,3.05
composite_stepA_stepC,4,2.5865953411239686,2.693610829493325,2.498327091593039,13,7,0.55,6,2.17387089420513,15.738943231467028,1.12,2.45
composite_stepA_stepC,5,2.6680472755104,2.868246046745927,2.502919821863578,14,4,0.75,3,2.715580182370021,31.621605768435757,1.12,3.05
composite_stepA_stepC,6,2.5795241234651507,2.610761948441754,2.5537586181924774,14,6,1.0,0,2.151787504263966,24.29414183504039,1.0,2.75
composite_stepA_stepC,7,2.582301233451707,2.6428975818062175,2.532320303787037,14,2,0.2,6,1.4542905550862906,26.459930465493564,1.12,3.05
composite_stepA_stepC,8,2.6133977128442476,2.6038440159091594,2.6212777694403413,12,3,1.0,0,1.349668937079162,19.113680075174702,1.12,3.05
composite_stepA_stepC,9,2.7335662109489682,2.8265807894122212,2.656846157180007,3,4,0.45,3,1.9950053537342978,24.6913104990268,1.0,2.75
composite_stepA_stepC,10,2.6111117123489693,2.5408269727194983,2.669083796860869,10,7,0.75,0,2.0337302394363506,27.217595260944712,1.12,2.45
composite_stepA_stepC,11,2.674174624157433,2.73415508168925,2.6247016920326494,17,0,0.45,6,1.5745994583225111,27.357416547031136,1.0,2.75
