anchor_key,true_dist_m,median_bias_corrected_m,gate_resid_m
e63ce2f,11.208925015361643,9.603,1.6059250153616436
8e610981,8.48528137423857,7.205500000000001,1.2797813742385689
110394ab,0.6,2.3667000000000002,1.7667000000000002
8e610981,6.841052550594828,6.8455,0.004447449405172499
d1044709,9.840731680114036,10.376100000000001,0.5353683198859649
8e610981,6.0,6.2255,0.22550000000000026
110394ab,0.6000000000000001,2.6567,2.0566999999999998
d10485af,14.512063946937388,16.5111,1.9990360530626106
4e610206,14.81890684227416,15.2474,0.42849315772584085
110394ab,1.7999999999999998,2.9967,1.1967000000000003
8e610981,8.0049984384758,9.5255,1.520501561524199
8e610981,5.43323108288245,4.1955,1.2377310828824504
d1044709,3.4985711369071804,4.6261,1.1275288630928197
110394ab,3.6496575181789317,3.5467000000000004,0.10295751817893128
8e610981,6.118823416311342,6.0655,0.05332341631134163
d1044709,7.224956747275377,7.9461,0.7211432527246231
8e610981,8.48528137423857,9.6555,1.1702186257614304
110394ab,5.531726674375733,3.8567,1.675026674375733
d1044709,7.224956747275377,5.5761,1.648856747275377
d1044709,4.242640687119285,2.5461,1.6965406871192847
4e610206,6.48999229583518,6.6574,0.16740770416481965
110394ab,2.4738633753705965,4.0267,1.5528366246294034
8e610981,6.0,5.915500000000001,0.08449999999999935
4e610206,5.433231082882449,5.8874,0.4541689171175518
e63ce2f,9.840731680114036,8.003,1.837731680114036
d1044709,0.5999999999999996,1.9361,1.3361000000000003
4e610206,5.433231082882449,5.1474,0.2858310828824484
d10485af,6.7082039324993685,8.2411,1.532896067500631
4e610206,0.8485281374238578,2.0774,1.2288718625761421
4e610206,16.376812876747415,16.877399999999998,0.5005871232525827
110394ab,4.326661530556787,4.3267,3.8469443213173804e-05
e63ce2f,9.178235124467012,7.122999999999999,2.0552351244670124
d10485af,10.21763181955584,11.7111,1.4934681804441592
4e610206,9.985990186255941,10.1774,0.19140981374405897
110394ab,2.545584412271571,4.4367,1.8911155877284291
d1044709,7.8230428862431785,9.3461,1.5230571137568214
110394ab,3.49857113690718,4.5367,1.0381288630928198
e63ce2f,8.4,10.233,1.8330000000000002
d10485af,12.059850745345068,13.9111,1.851249254654931
d1044709,3.059411708155671,2.2361,0.8233117081556709
4e610206,6.4899922958351794,7.0974,0.6074077041648209
d10485af,2.6832815729997477,4.3511,1.667818427000252
4e610206,7.224956747275377,7.6374,0.4124432527246231
e63ce2f,10.182337649086284,8.083,2.0993376490862836
8e610981,3.0,4.8955,1.8955000000000002
d10485af,5.3665631459994945,6.9211,1.5545368540005056
8e610981,5.161395160225576,4.1055,1.0558951602255755
110394ab,3.0594117081556704,4.7067,1.6472882918443292
110394ab,4.326661530556787,4.7167,0.39003846944321374
8e610981,3.0,3.6355,0.6355
110394ab,4.326661530556787,4.7267,0.40003846944321353
8e610981,3.0,2.9154999999999998,0.08450000000000024
110394ab,3.2310988842807022,4.7667,1.535601115719298
8e610981,1.897366596101028,3.5355,1.6381334038989719
d10485af,9.079647570252934,7.5411,1.538547570252934
4e610206,5.909314681077662,6.5374,0.6280853189223379
d10485af,5.909314681077663,7.3210999999999995,1.4117853189223366
4e610206,5.091168824543142,5.4274000000000004,0.33623117545685854
4e610206,5.909314681077662,5.9774,0.06808531892233827
110394ab,3.49857113690718,4.9767,1.4781288630928202
d10485af,10.8,12.6011,1.8011
d1044709,7.249827584156743,5.3661,1.883727584156743
4e610206,4.024922359499621,3.1374,0.8875223594996213
110394ab,6.841052550594828,5.0867,1.7543525505948274
8e610981,3.8418745424597094,4.3955,0.5536254575402908
4e610206,8.160882305241264,9.4174,1.2565176947587364
8e610981,3.0,4.9655000000000005,1.9655000000000005
d10485af,4.242640687119284,5.9411000000000005,1.6984593128807166
110394ab,3.394112549695428,5.1167,1.7225874503045717
8e610981,4.2,4.3755,0.17549999999999955
8e610981,4.8373546489791295,5.0555,0.21814535102087085
d1044709,3.4985711369071804,4.0761,0.5775288630928199
4e610206,5.692099788303082,6.3474,0.6553002116969182
8e610981,6.0,4.7355,1.2645
d10485af,1.8973665961010282,3.6811,1.7837334038989716
d1044709,9.372299611087984,10.1561,0.7838003889120166
e63ce2f,9.840731680114036,8.793,1.0477316801140368
110394ab,6.489992295835181,5.5667,0.9232922958351812
d1044709,3.8418745424597094,4.6061,0.7642254575402903
110394ab,6.627216610312356,5.6967,0.9305166103123561
e63ce2f,11.818629362155326,10.533,1.2856293621553263
8e610981,1.8,2.2355,0.4355
110394ab,4.8373546489791295,5.7867,0.9493453510208703
110394ab,6.841052550594828,5.8067,1.0343525505948277
8e610981,0.6000000000000001,0.7354999999999999,0.13549999999999984
110394ab,4.024922359499621,5.8367,1.8117776405003791
8e610981,3.059411708155671,3.1854999999999998,0.1260882918443289
d10485af,10.2,11.8811,1.6811000000000007
8e610981,1.8973665961010264,2.2255,0.3281334038989734
4e610206,11.909659944767524,12.4474,0.5377400552324758
8e610981,1.799999999999999,3.2855,1.485500000000001
d10485af,5.43323108288245,7.2511,1.8178689171175497
d1044709,6.4621977685614045,5.8861,0.5760977685614046
4e610206,6.489992295835181,7.7774,1.2874077041648189
110394ab,4.326661530556787,6.1667000000000005,1.840038469443214
8e610981,3.0,3.0755,0.0754999999999999
8e610981,7.58946638440411,6.2655,1.3239663844041107
d10485af,11.462983904725679,13.3311,1.8681160952743205
d1044709,8.590692637965812,7.2661,1.3245926379658126
4e610206,11.999999999999998,12.5974,0.5974000000000022
110394ab,4.326661530556787,6.2567,1.9300384694432138
e63ce2f,9.178235124467012,9.533,0.35476487553298774
8e610981,3.0,3.0155,0.015499999999999847
110394ab,7.224956747275376,6.326700000000001,0.8982567472753757
d1044709,3.2310988842807027,4.0661,0.8350011157192969
4e610206,7.58946638440411,7.1774000000000004,0.4120663844041097
8e610981,3.2310988842807027,3.8055,0.5744011157192972
4e610206,4.8373546489791295,4.837400000000001,4.5351020871109426e-05
d10485af,9.693296652842108,9.2111,0.48219665284210755
4e610206,3.49857113690718,3.6674,0.1688288630928203
8e610981,7.249827584156743,7.3855,0.13567241584325718
d10485af,3.6496575181789317,5.3911,1.741442481821068
4e610206,2.6832815729997486,3.2774,0.5941184270002515
d10485af,3.794733192202055,5.6011,1.8063668077979447
d1044709,3.059411708155671,4.6761,1.616688291844329
e63ce2f,12.014990636700473,11.633,0.38199063670047373
d10485af,9.0,9.251100000000001,0.251100000000001
d1044709,8.160882305241264,9.9061,1.7452176947587361
e63ce2f,9.693296652842108,11.693000000000001,1.9997033471578938
d10485af,7.224956747275376,9.251100000000001,2.0261432527246246
110394ab,5.531726674375732,6.7767,1.2449733256242679
4e610206,8.85889383614004,9.5574,0.6985061638599603
e63ce2f,1.3416407864998747,3.4229999999999996,2.081359213500125
d1044709,4.024922359499621,3.8661000000000003,0.15882235949962098
110394ab,8.335466393669883,6.8467,1.4887663936698825
d10485af,7.022819946431775,5.4711,1.551719946431775
4e610206,5.999999999999999,6.5074000000000005,0.5074000000000014
d10485af,8.527602242131136,10.3211,1.7934977578688631
d1044709,1.6970562748477138,2.2861000000000002,0.5890437251522864
110394ab,5.161395160225576,6.9567000000000005,1.795304839774425
d10485af,2.4738633753705965,4.0511,1.5772366246294034
110394ab,5.43323108288245,7.0167,1.5834689171175498
d1044709,7.249827584156744,7.0361,0.21372758415674387
8e610981,4.242640687119284,2.3155,1.9271406871192838
d10485af,8.160882305241264,10.1511,1.9902176947587353
8e610981,4.242640687119285,4.2255,0.017140687119284514
4e610206,3.3941125496954276,4.3574,0.9632874503045725
d10485af,13.213629327327144,14.591099999999999,1.377470672672855
d1044709,8.072174428244226,7.5461,0.5260744282442262
e63ce2f,11.208925015361643,11.513,0.3040749846383566
d1044709,6.997142273814361,5.9861,1.0110422738143603
d1044709,5.1613951602255765,6.476100000000001,1.314704839774424
e63ce2f,9.674709297958259,10.363,0.6882907020417406
4e610206,7.224956747275376,7.5674,0.3424432527246237
d10485af,3.231098884280702,4.991099999999999,1.7600011157192976
d10485af,1.3416407864998732,1.8111,0.46945921350012676
e63ce2f,11.541230437002806,11.062999999999999,0.4782304370028072
d1044709,7.2993150363578625,8.0461,0.7467849636421366
4e610206,2.1633307652783933,2.6674,0.5040692347216069
d1044709,8.527602242131136,9.1761,0.6484977578688635
8e610981,6.26418390534633,8.0255,1.7613160946536688
d10485af,2.6832815729997472,4.661099999999999,1.9778184270002521
e63ce2f,9.314504817756013,8.273,1.0415048177560138
4e610206,13.483323032546538,11.9674,1.5159230325465387
d10485af,4.947726750741191,6.8911,1.9433732492588085
d1044709,6.841052550594828,7.5961,0.755047449405172
4e610206,1.3416407864998754,1.9374000000000002,0.5957592135001248
d1044709,6.627216610312356,7.7861,1.1588833896876443
4e610206,0.6000000000000014,1.2674,0.6673999999999987
e63ce2f,10.252804494381035,9.893,0.35980449438103435
8e610981,7.224956747275376,6.3055,0.9194567472753761
110394ab,6.489992295835181,7.9367,1.4467077041648189
d1044709,3.8418745424597094,4.5561,0.7142254575402904
8e610981,4.242640687119285,4.4455,0.20285931288071524
e63ce2f,9.079647570252934,7.163,1.916647570252934
d10485af,7.421590126111789,6.1811,1.2404901261117889
d10485af,5.531726674375733,7.3411,1.809373325624267
4e610206,0.8485281374238585,1.4174000000000002,0.5688718625761418
8e610981,5.909314681077663,6.9055,0.9961853189223371
4e610206,13.32216198670471,14.8474,1.52523801329529
110394ab,7.249827584156743,8.0867,0.8368724158432572
110394ab,8.527602242131136,8.1267,0.4009022421311368
d1044709,7.022819946431775,7.646100000000001,0.6232800535682257
4e610206,1.8973665961010286,1.5074,0.3899665961010286
110394ab,10.252804494381037,8.3267,1.9261044943810361
d10485af,12.840560735419617,12.0011,0.8394607354196175
d1044709,2.6832815729997477,2.1161000000000003,0.5671815729997474
8e610981,6.7082039324993685,6.3855,0.32270393249936813
d10485af,13.416407864998737,15.1311,1.714692135001263
8e610981,7.891767862779543,6.3555,1.5362678627795425
e63ce2f,7.8,7.343,0.45699999999999985
8e610981,9.486832980505138,7.5755,1.9113329805051382
4e610206,4.326661530556787,4.2974,0.02926153055678693
110394ab,6.7082039324993685,8.5367,1.8284960675006312
8e610981,1.2000000000000002,1.6955,0.49549999999999983
110394ab,8.48528137423857,8.5467,0.06141862576142998
d10485af,8.85889383614004,7.7911,1.067793836140039
d10485af,8.919641248391104,10.5111,1.5914587516088972
4e610206,4.242640687119284,5.4774,1.2347593128807164
d1044709,7.299315036357864,7.6561,0.3567849636421361
110394ab,9.486832980505138,8.6667,0.8201329805051376
8e610981,5.531726674375733,6.1555,0.623773325624267
d1044709,0.8485281374238571,2.2061,1.357571862576143
8e610981,9.0,8.5655,0.4344999999999999
d10485af,3.794733192202055,5.2011,1.4063668077979452
8e610981,6.841052550594827,5.8655,0.975552550594827
d1044709,6.264183905346329,4.5161,1.7480839053463288
e63ce2f,8.42140130857092,9.242999999999999,0.8215986914290792
110394ab,8.160882305241264,9.1467,0.9858176947587349
8e610981,2.1633307652783933,2.3055,0.14216923472160659
d10485af,0.6000000000000014,2.4111,1.8110999999999984
d1044709,10.682696288858914,9.6961,0.9865962888589141
e63ce2f,8.0049984384758,9.273,1.2680015615241995
d10485af,13.916896205691842,13.1911,0.7257962056918412
d1044709,7.683749084919419,8.2761,0.5923509150805808
