row_idx,anchor_key,true_dist_m,uwb_median_m,uwb_median_bias_corrected_m,gate_resid_m,passed_v15_gate
0,e63ce2f,11.208925015361643,5.96,9.603,1.6059250153616436,1
0,8e610981,8.48528137423857,6.69,7.205500000000001,1.2797813742385689,1
1,110394ab,0.6,0.44,2.3667000000000002,1.7667000000000002,1
1,8e610981,6.841052550594828,6.33,6.8455,0.004447449405172499,1
1,d1044709,9.840731680114036,9.38,10.376100000000001,0.5353683198859649,1
2,8e610981,6.0,5.71,6.2255,0.22550000000000026,1
3,110394ab,0.6000000000000001,0.73,2.6567,2.0566999999999998,1
3,d10485af,14.512063946937388,14.46,16.5111,1.9990360530626106,1
3,4e610206,14.81890684227416,14.64,15.2474,0.42849315772584085,1
4,110394ab,1.7999999999999998,1.07,2.9967,1.1967000000000003,1
5,8e610981,8.0049984384758,9.01,9.5255,1.520501561524199,1
7,8e610981,5.43323108288245,3.68,4.1955,1.2377310828824504,1
9,d1044709,3.4985711369071804,3.63,4.6261,1.1275288630928197,1
10,110394ab,3.6496575181789317,1.62,3.5467000000000004,0.10295751817893128,1
10,8e610981,6.118823416311342,5.55,6.0655,0.05332341631134163,1
10,d1044709,7.224956747275377,6.95,7.9461,0.7211432527246231,1
11,8e610981,8.48528137423857,9.14,9.6555,1.1702186257614304,1
14,110394ab,5.531726674375733,1.93,3.8567,1.675026674375733,1
14,d1044709,7.224956747275377,4.58,5.5761,1.648856747275377,1
15,d1044709,4.242640687119285,1.55,2.5461,1.6965406871192847,1
15,4e610206,6.48999229583518,6.05,6.6574,0.16740770416481965,1
16,110394ab,2.4738633753705965,2.1,4.0267,1.5528366246294034,1
16,8e610981,6.0,5.4,5.915500000000001,0.08449999999999935,1
17,4e610206,5.433231082882449,5.28,5.8874,0.4541689171175518,1
19,e63ce2f,9.840731680114036,4.36,8.003,1.837731680114036,1
20,d1044709,0.5999999999999996,0.94,1.9361,1.3361000000000003,1
20,4e610206,5.433231082882449,4.54,5.1474,0.2858310828824484,1
21,d10485af,6.7082039324993685,6.19,8.2411,1.532896067500631,1
21,4e610206,0.8485281374238578,1.47,2.0774,1.2288718625761421,1
22,4e610206,16.376812876747415,16.27,16.877399999999998,0.5005871232525827,1
23,110394ab,4.326661530556787,2.4,4.3267,3.8469443213173804e-05,1
23,e63ce2f,9.178235124467012,3.48,7.122999999999999,2.0552351244670124,1
23,d10485af,10.21763181955584,9.66,11.7111,1.4934681804441592,1
23,4e610206,9.985990186255941,9.57,10.1774,0.19140981374405897,1
24,110394ab,2.545584412271571,2.51,4.4367,1.8911155877284291,1
24,d1044709,7.8230428862431785,8.35,9.3461,1.5230571137568214,1
25,110394ab,3.49857113690718,2.61,4.5367,1.0381288630928198,1
25,e63ce2f,8.4,6.59,10.233,1.8330000000000002,1
25,d10485af,12.059850745345068,11.86,13.9111,1.851249254654931,1
26,d1044709,3.059411708155671,1.24,2.2361,0.8233117081556709,1
26,4e610206,6.4899922958351794,6.49,7.0974,0.6074077041648209,1
27,d10485af,2.6832815729997477,2.3,4.3511,1.667818427000252,1
27,4e610206,7.224956747275377,7.03,7.6374,0.4124432527246231,1
28,e63ce2f,10.182337649086284,4.44,8.083,2.0993376490862836,1
28,8e610981,3.0,4.38,4.8955,1.8955000000000002,1
28,d10485af,5.3665631459994945,4.87,6.9211,1.5545368540005056,1
29,8e610981,5.161395160225576,3.59,4.1055,1.0558951602255755,1
30,110394ab,3.0594117081556704,2.78,4.7067,1.6472882918443292,1
31,110394ab,4.326661530556787,2.79,4.7167,0.39003846944321374,1
31,8e610981,3.0,3.12,3.6355,0.6355,1
32,110394ab,4.326661530556787,2.8,4.7267,0.40003846944321353,1
32,8e610981,3.0,2.4,2.9154999999999998,0.08450000000000024,1
33,110394ab,3.2310988842807022,2.84,4.7667,1.535601115719298,1
34,8e610981,1.897366596101028,3.02,3.5355,1.6381334038989719,1
34,d10485af,9.079647570252934,5.49,7.5411,1.538547570252934,1
37,4e610206,5.909314681077662,5.93,6.5374,0.6280853189223379,1
38,d10485af,5.909314681077663,5.27,7.3210999999999995,1.4117853189223366,1
38,4e610206,5.091168824543142,4.82,5.4274000000000004,0.33623117545685854,1
39,4e610206,5.909314681077662,5.37,5.9774,0.06808531892233827,1
40,110394ab,3.49857113690718,3.05,4.9767,1.4781288630928202,1
40,d10485af,10.8,10.55,12.6011,1.8011,1
40,d1044709,7.249827584156743,4.37,5.3661,1.883727584156743,1
41,4e610206,4.024922359499621,2.53,3.1374,0.8875223594996213,1
42,110394ab,6.841052550594828,3.16,5.0867,1.7543525505948274,1
42,8e610981,3.8418745424597094,3.88,4.3955,0.5536254575402908,1
42,4e610206,8.160882305241264,8.81,9.4174,1.2565176947587364,1
43,8e610981,3.0,4.45,4.9655000000000005,1.9655000000000005,1
43,d10485af,4.242640687119284,3.89,5.9411000000000005,1.6984593128807166,1
44,110394ab,3.394112549695428,3.19,5.1167,1.7225874503045717,1
44,8e610981,4.2,3.86,4.3755,0.17549999999999955,1
45,8e610981,4.8373546489791295,4.54,5.0555,0.21814535102087085,1
45,d1044709,3.4985711369071804,3.08,4.0761,0.5775288630928199,1
46,4e610206,5.692099788303082,5.74,6.3474,0.6553002116969182,1
47,8e610981,6.0,4.22,4.7355,1.2645,1
48,d10485af,1.8973665961010282,1.63,3.6811,1.7837334038989716,1
48,d1044709,9.372299611087984,9.16,10.1561,0.7838003889120166,1
50,e63ce2f,9.840731680114036,5.15,8.793,1.0477316801140368,1
51,110394ab,6.489992295835181,3.64,5.5667,0.9232922958351812,1
51,d1044709,3.8418745424597094,3.61,4.6061,0.7642254575402903,1
52,110394ab,6.627216610312356,3.77,5.6967,0.9305166103123561,1
52,e63ce2f,11.818629362155326,6.89,10.533,1.2856293621553263,1
52,8e610981,1.8,1.72,2.2355,0.4355,1
53,110394ab,4.8373546489791295,3.86,5.7867,0.9493453510208703,1
54,110394ab,6.841052550594828,3.88,5.8067,1.0343525505948277,1
54,8e610981,0.6000000000000001,0.22,0.7354999999999999,0.13549999999999984,1
55,110394ab,4.024922359499621,3.91,5.8367,1.8117776405003791,1
55,8e610981,3.059411708155671,2.67,3.1854999999999998,0.1260882918443289,1
55,d10485af,10.2,9.83,11.8811,1.6811000000000007,1
56,8e610981,1.8973665961010264,1.71,2.2255,0.3281334038989734,1
57,4e610206,11.909659944767524,11.84,12.4474,0.5377400552324758,1
61,8e610981,1.799999999999999,2.77,3.2855,1.485500000000001,1
61,d10485af,5.43323108288245,5.2,7.2511,1.8178689171175497,1
61,d1044709,6.4621977685614045,4.89,5.8861,0.5760977685614046,1
61,4e610206,6.489992295835181,7.17,7.7774,1.2874077041648189,1
62,110394ab,4.326661530556787,4.24,6.1667000000000005,1.840038469443214,1
62,8e610981,3.0,2.56,3.0755,0.0754999999999999,1
65,8e610981,7.58946638440411,5.75,6.2655,1.3239663844041107,1
66,d10485af,11.462983904725679,11.28,13.3311,1.8681160952743205,1
66,d1044709,8.590692637965812,6.27,7.2661,1.3245926379658126,1
66,4e610206,11.999999999999998,11.99,12.5974,0.5974000000000022,1
67,110394ab,4.326661530556787,4.33,6.2567,1.9300384694432138,1
67,e63ce2f,9.178235124467012,5.89,9.533,0.35476487553298774,1
67,8e610981,3.0,2.5,3.0155,0.015499999999999847,1
68,110394ab,7.224956747275376,4.4,6.326700000000001,0.8982567472753757,1
68,d1044709,3.2310988842807027,3.07,4.0661,0.8350011157192969,1
68,4e610206,7.58946638440411,6.57,7.1774000000000004,0.4120663844041097,1
69,8e610981,3.2310988842807027,3.29,3.8055,0.5744011157192972,1
69,4e610206,4.8373546489791295,4.23,4.837400000000001,4.5351020871109426e-05,1
70,d10485af,9.693296652842108,7.16,9.2111,0.48219665284210755,1
70,4e610206,3.49857113690718,3.06,3.6674,0.1688288630928203,1
71,8e610981,7.249827584156743,6.87,7.3855,0.13567241584325718,1
71,d10485af,3.6496575181789317,3.34,5.3911,1.741442481821068,1
71,4e610206,2.6832815729997486,2.67,3.2774,0.5941184270002515,1
72,d10485af,3.794733192202055,3.55,5.6011,1.8063668077979447,1
73,d1044709,3.059411708155671,3.68,4.6761,1.616688291844329,1
74,e63ce2f,12.014990636700473,7.99,11.633,0.38199063670047373,1
74,d10485af,9.0,7.2,9.251100000000001,0.251100000000001,1
74,d1044709,8.160882305241264,8.91,9.9061,1.7452176947587361,1
75,e63ce2f,9.693296652842108,8.05,11.693000000000001,1.9997033471578938,1
76,d10485af,7.224956747275376,7.2,9.251100000000001,2.0261432527246246,1
77,110394ab,5.531726674375732,4.85,6.7767,1.2449733256242679,1
77,4e610206,8.85889383614004,8.95,9.5574,0.6985061638599603,1
78,e63ce2f,1.3416407864998747,-0.22,3.4229999999999996,2.081359213500125,1
78,d1044709,4.024922359499621,2.87,3.8661000000000003,0.15882235949962098,1
79,110394ab,8.335466393669883,4.92,6.8467,1.4887663936698825,1
79,d10485af,7.022819946431775,3.42,5.4711,1.551719946431775,1
79,4e610206,5.999999999999999,5.9,6.5074000000000005,0.5074000000000014,1
80,d10485af,8.527602242131136,8.27,10.3211,1.7934977578688631,1
80,d1044709,1.6970562748477138,1.29,2.2861000000000002,0.5890437251522864,1
82,110394ab,5.161395160225576,5.03,6.9567000000000005,1.795304839774425,1
83,d10485af,2.4738633753705965,2.0,4.0511,1.5772366246294034,1
84,110394ab,5.43323108288245,5.09,7.0167,1.5834689171175498,1
84,d1044709,7.249827584156744,6.04,7.0361,0.21372758415674387,1
85,8e610981,4.242640687119284,1.8,2.3155,1.9271406871192838,1
85,d10485af,8.160882305241264,8.1,10.1511,1.9902176947587353,1
88,8e610981,4.242640687119285,3.71,4.2255,0.017140687119284514,1
88,4e610206,3.3941125496954276,3.75,4.3574,0.9632874503045725,1
89,d10485af,13.213629327327144,12.54,14.591099999999999,1.377470672672855,1
89,d1044709,8.072174428244226,6.55,7.5461,0.5260744282442262,1
90,e63ce2f,11.208925015361643,7.87,11.513,0.3040749846383566,1
92,d1044709,6.997142273814361,4.99,5.9861,1.0110422738143603,1
93,d1044709,5.1613951602255765,5.48,6.476100000000001,1.314704839774424,1
94,e63ce2f,9.674709297958259,6.72,10.363,0.6882907020417406,1
94,4e610206,7.224956747275376,6.96,7.5674,0.3424432527246237,1
95,d10485af,3.231098884280702,2.94,4.991099999999999,1.7600011157192976,1
98,d10485af,1.3416407864998732,-0.24,1.8111,0.46945921350012676,1
99,e63ce2f,11.541230437002806,7.42,11.062999999999999,0.4782304370028072,1
99,d1044709,7.2993150363578625,7.05,8.0461,0.7467849636421366,1
99,4e610206,2.1633307652783933,2.06,2.6674,0.5040692347216069,1
103,d1044709,8.527602242131136,8.18,9.1761,0.6484977578688635,1
104,8e610981,6.26418390534633,7.51,8.0255,1.7613160946536688,1
104,d10485af,2.6832815729997472,2.61,4.661099999999999,1.9778184270002521,1
105,e63ce2f,9.314504817756013,4.63,8.273,1.0415048177560138,1
107,4e610206,13.483323032546538,11.36,11.9674,1.5159230325465387,1
108,d10485af,4.947726750741191,4.84,6.8911,1.9433732492588085,1
108,d1044709,6.841052550594828,6.6,7.5961,0.755047449405172,1
108,4e610206,1.3416407864998754,1.33,1.9374000000000002,0.5957592135001248,1
109,d1044709,6.627216610312356,6.79,7.7861,1.1588833896876443,1
109,4e610206,0.6000000000000014,0.66,1.2674,0.6673999999999987,1
110,e63ce2f,10.252804494381035,6.25,9.893,0.35980449438103435,1
110,8e610981,7.224956747275376,5.79,6.3055,0.9194567472753761,1
111,110394ab,6.489992295835181,6.01,7.9367,1.4467077041648189,1
111,d1044709,3.8418745424597094,3.56,4.5561,0.7142254575402904,1
112,8e610981,4.242640687119285,3.93,4.4455,0.20285931288071524,1
113,e63ce2f,9.079647570252934,3.52,7.163,1.916647570252934,1
114,d10485af,7.421590126111789,4.13,6.1811,1.2404901261117889,1
115,d10485af,5.531726674375733,5.29,7.3411,1.809373325624267,1
115,4e610206,0.8485281374238585,0.81,1.4174000000000002,0.5688718625761418,1
116,8e610981,5.909314681077663,6.39,6.9055,0.9961853189223371,1
116,4e610206,13.32216198670471,14.24,14.8474,1.52523801329529,1
117,110394ab,7.249827584156743,6.16,8.0867,0.8368724158432572,1
118,110394ab,8.527602242131136,6.2,8.1267,0.4009022421311368,1
119,d1044709,7.022819946431775,6.65,7.646100000000001,0.6232800535682257,1
119,4e610206,1.8973665961010286,0.9,1.5074,0.3899665961010286,1
120,110394ab,10.252804494381037,6.4,8.3267,1.9261044943810361,1
120,d10485af,12.840560735419617,9.95,12.0011,0.8394607354196175,1
120,d1044709,2.6832815729997477,1.12,2.1161000000000003,0.5671815729997474,1
121,8e610981,6.7082039324993685,5.87,6.3855,0.32270393249936813,1
123,d10485af,13.416407864998737,13.08,15.1311,1.714692135001263,1
125,8e610981,7.891767862779543,5.84,6.3555,1.5362678627795425,1
126,e63ce2f,7.8,3.7,7.343,0.45699999999999985,1
126,8e610981,9.486832980505138,7.06,7.5755,1.9113329805051382,1
126,4e610206,4.326661530556787,3.69,4.2974,0.02926153055678693,1
127,110394ab,6.7082039324993685,6.61,8.5367,1.8284960675006312,1
127,8e610981,1.2000000000000002,1.18,1.6955,0.49549999999999983,1
128,110394ab,8.48528137423857,6.62,8.5467,0.06141862576142998,1
128,d10485af,8.85889383614004,5.74,7.7911,1.067793836140039,1
129,d10485af,8.919641248391104,8.46,10.5111,1.5914587516088972,1
129,4e610206,4.242640687119284,4.87,5.4774,1.2347593128807164,1
131,d1044709,7.299315036357864,6.66,7.6561,0.3567849636421361,1
132,110394ab,9.486832980505138,6.74,8.6667,0.8201329805051376,1
132,8e610981,5.531726674375733,5.64,6.1555,0.623773325624267,1
132,d1044709,0.8485281374238571,1.21,2.2061,1.357571862576143,1
133,8e610981,9.0,8.05,8.5655,0.4344999999999999,1
134,d10485af,3.794733192202055,3.15,5.2011,1.4063668077979452,1
135,8e610981,6.841052550594827,5.35,5.8655,0.975552550594827,1
135,d1044709,6.264183905346329,3.52,4.5161,1.7480839053463288,1
137,e63ce2f,8.42140130857092,5.6,9.242999999999999,0.8215986914290792,1
140,110394ab,8.160882305241264,7.22,9.1467,0.9858176947587349,1
141,8e610981,2.1633307652783933,1.79,2.3055,0.14216923472160659,1
