Node_x,Node_y,StepA_Error_m,StepB_Error_m
0,30,15.695987642090067,16.817021117150663
20,0,16.214177400367394,14.698230060610683
18,27,1.9141694507459035,8.969781569856062
20,20,8.724578971698051,8.71229569348392
3,21,6.938565734969605,8.178108600681576
15,20,7.145578067191878,7.717991011191138
15,0,7.576223537107001,7.472404925268416
14,15,7.542822841349057,7.411762738572516
20,10,5.555925688380879,7.374622328477151
20,12,6.216308431561209,6.603700003495205
20,25,6.049375700380328,6.57247591214573
13,17,5.678716781337975,6.351185157771942
11,30,8.371487074117116,6.123210873152095
18,13,3.604607717483804,5.873795859850545
0,15,5.784918049827064,5.7890569069301865
18,28,4.178207971742632,5.74028879616128
17,22,0.595092356806564,5.680721718288558
0,23,5.503178725032533,5.599392166508183
18,3,3.441477539040354,5.57046660975457
15,9,6.107095904727506,5.312169621613741
10,30,6.291551513258555,5.1374464163514695
20,28,3.963907332808621,4.862841213772906
19,27,1.2422870810724287,4.837489435102274
18,2,4.74034926507834,4.773624397843157
16,15,2.677837525777083,4.716579861886617
20,5,3.8355809987682017,4.280027427765436
2,15,2.8543190265063236,4.035981951296331
17,27,2.8918005827213165,3.9815572167386457
10,8,5.202206338442369,3.8057746893949798
10,10,4.4550765033212505,3.717950681341539
0,29,3.694468733907583,3.659482598820921
3,10,2.584009784772823,3.607564112104598
13,27,2.89425087374996,3.4840597266305693
4,20,3.216566274000793,3.4268419481270826
20,3,3.4430324393226184,3.2785562449449865
18,24,4.541468592491621,3.1971118344283616
16,27,1.227719142471886,3.1087280864090454
1,29,3.051962915472842,3.002341373064023
17,2,2.1098837657509764,2.929521163493314
10,15,1.8361048996920082,2.8968390389678564
1,0,5.6604352656483385,2.8759220115317485
14,30,0.6046806460552197,2.6353805143935634
17,12,2.87367998467743,2.6206571421302947
15,10,1.636021109162906,2.59351243344713
2,2,2.8325481056742854,2.4845548330017486
15,27,1.2228254025824707,2.4813511636937986
14,27,1.2071203292012405,2.3668269794339043
10,16,2.460331513795334,2.2410956776354154
15,5,1.0389987690745346,2.206838845584539
6,28,2.9051395822284016,2.160568847731682
6,4,3.3604837938839847,2.1113859109059003
15,30,1.9405104622288107,2.105648696827218
10,5,0.9451522977039581,2.0901528557786087
16,24,1.9555927589050983,2.085759515472802
9,15,3.0049265731253487,2.0730157726799683
9,23,1.061251960478451,1.9499877101617418
13,30,1.3471651143151933,1.8710921545068249
3,15,1.2125887059738414,1.8612987518028719
12,27,1.1685592296630558,1.828114014595536
3,29,1.9317121650381244,1.82595495517287
20,15,1.2478598173954134,1.8123865133612083
20,27,1.9407824223981713,1.742084693188482
18,15,1.9901909651763905,1.678410086179479
11,15,2.494012965250495,1.6657035217593241
8,15,0.856782692701836,1.4629064842656778
5,0,0.9980415811477407,1.3987205116367085
10,22,0.7857167561724051,1.373982483109419
8,14,1.0670107599412104,1.371480405605924
4,29,1.45979146645935,1.3397450623229765
7,4,0.39930828022832987,1.332584438905395
5,29,1.5096265121703196,1.2483029075305871
4,15,1.4989515084176674,1.2448455820278104
7,16,2.2160023336224683,1.1414704509928442
8,7,0.5235040788227521,1.1408728121795289
6,15,1.3261379881209479,1.0806042345017808
2,28,1.6557694353025316,1.0188376846015204
0,0,1.7394444925927117,0.9591481735200719
9,29,0.8468649989494547,0.8999283642766546
8,29,0.8148090671753011,0.883401835511742
6,29,1.1434801889238648,0.8427910478634459
12,30,1.7336059520956246,0.8248378556635029
2,6,2.3595695646438757,0.6813660849865315
11,28,1.0396973042245665,0.6567734704368315
7,15,1.1019241132583333,0.5658732699128949
7,29,0.6899716172346739,0.5038468010993525
2,29,0.5188443288389065,0.37663029292165495
11,27,1.7816389196505547,0.354187631436369
