sample_index,p1_uwb_cal_0,p1_wifi_cal_0,p2_rule_0,p2_d_fused_0,p1_uwb_cal_1,p1_wifi_cal_1,p2_rule_1,p2_d_fused_1,p1_uwb_cal_2,p1_wifi_cal_2,p2_rule_2,p2_d_fused_2,p1_uwb_cal_3,p1_wifi_cal_3,p2_rule_3,p2_d_fused_3,p1_uwb_cal_4,p1_wifi_cal_4,p2_rule_4,p2_d_fused_4,p1_uwb_cal_5,p1_wifi_cal_5,p2_rule_5,p2_d_fused_5,p3_n_fused_valid,p3_f_scale,p4_quality_rmse_m,p4_confidence
0,5.3167,1.83,wifi_only_uwb_dead_or_var,1.83,5.8629999999999995,19.5218,wifi_only_uwb_dead_or_var,19.5218,4.7955000000000005,13.1332,asym_wifi_dom_underest,10.63189,11.3311,6.8774,soft_logvar,7.492296759849939,,11.322700000000001,wifi_only_uwb_dead_or_var,11.322700000000001,9.2774,12.0326,soft_logvar,10.816841935472688,6,5.745604860225093,4.289070621509281,Low
1,,15.07,wifi_only_uwb_dead_or_var,15.07,,2.5818,wifi_only_uwb_dead_or_var,2.5818,4.6855,8.6132,soft_logvar,7.437181875554919,5.2811,11.427399999999999,asym_wifi_dom_underest,9.583509999999999,2.7061,11.962700000000002,asym_wifi_dom_underest,9.185720000000002,3.7874000000000003,5.6426,soft_logvar,5.261930338016356,6,6.482369492975464,2.904964418619288,Low
2,3.7167000000000003,6.52,soft_logvar,6.518464126621949,,13.3018,wifi_only_uwb_dead_or_var,13.3018,5.2655,10.3132,soft_logvar,10.30456686460897,10.6211,6.0974,soft_logvar,6.2059079027443245,8.0761,4.0327,asym_uwb_dom_multipath,4.4370400000000005,6.5474000000000006,4.7825999999999995,soft_logvar,5.46763799957208,6,4.22954104469129,3.5628194193725062,Low
3,3.2667,7.61,asym_wifi_dom_underest,6.30701,9.703,15.4218,soft_logvar,13.992232629052618,6.7855,12.1532,soft_logvar,6.838382020080406,12.7811,7.2974,soft_logvar,7.461748509773752,6.646100000000001,2.8627,asym_uwb_dom_multipath,3.24104,7.7274,6.662599999999999,soft_logvar,6.71427546828239,6,1.7321077646606282,3.1186298358273534,Low
4,2.8367,12.73,asym_wifi_dom_underest,9.76201,7.063,3.1418,asym_uwb_dom_multipath,3.53392,4.6455,5.9232000000000005,soft_logvar,5.902657119378752,,8.2374,wifi_only_uwb_dead_or_var,8.2374,7.186100000000001,14.6827,asym_wifi_dom_underest,12.43372,,7.7726,wifi_only_uwb_dead_or_var,7.7726,6,5.789029320931872,4.131638198627761,Low
5,4.9067,2.39,asym_uwb_dom_multipath,2.6416700000000004,7.0329999999999995,16.8318,asym_wifi_dom_underest,13.89216,,14.2032,wifi_only_uwb_dead_or_var,14.2032,,7.1574,wifi_only_uwb_dead_or_var,7.1574,7.9961,9.9227,soft_logvar,8.718696189492846,10.7174,10.7026,soft_logvar,10.707145951877052,6,10.10214,4.289571531698584,Low
6,8.816699999999999,5.89,soft_logvar,6.4639744682795,7.163,11.8418,soft_logvar,7.209095049192802,2.2155,7.2332,asym_wifi_dom_underest,5.7278899999999995,13.5611,1.5274,asym_uwb_dom_multipath,2.7307700000000006,,13.312700000000001,wifi_only_uwb_dead_or_var,13.312700000000001,7.4174,9.5626,soft_logvar,7.418694516048033,6,2.5362067740720504,3.6401532867161457,Low
7,4.1967,11.1,asym_wifi_dom_underest,9.02901,14.922999999999998,16.7418,soft_logvar,16.654338575541736,12.115499999999999,16.463199999999997,wifi_only_uwb_dead_or_var,16.463199999999997,3.4111000000000002,11.4674,asym_wifi_dom_underest,9.05051,,1.8626999999999998,wifi_only_uwb_dead_or_var,1.8626999999999998,6.4874,8.8526,soft_logvar,8.827277453824756,6,11.084313819262864,5.555227478163546,Low
8,2.7967,10.5,asym_wifi_dom_underest,8.18901,15.012999999999998,12.6318,soft_logvar,12.826712115783662,5.9655000000000005,12.773200000000001,asym_wifi_dom_underest,10.73089,3.4410999999999996,9.187399999999998,asym_wifi_dom_underest,7.4635099999999985,,2.1527,wifi_only_uwb_dead_or_var,2.1527,6.3574,6.1726,soft_logvar,6.297262551924797,6,6.650441172112805,3.4516230013613507,Low
9,5.6967,10.42,soft_logvar,10.130049034768703,12.863,7.3918,soft_logvar,12.853642548021595,1.6255000000000002,6.2332,asym_wifi_dom_underest,4.85089,3.4511,6.0574,soft_logvar,5.652187234460911,,10.162700000000001,wifi_only_uwb_dead_or_var,10.162700000000001,6.7174000000000005,0.8225999999999999,asym_uwb_dom_multipath,1.41208,6,7.967715000000002,2.0774644948108585,High
10,7.9367,12.99,soft_logvar,11.921931916080911,,7.5118,wifi_only_uwb_dead_or_var,7.5118,,10.5132,wifi_only_uwb_dead_or_var,10.5132,9.4911,10.2974,soft_logvar,10.057392022690058,0.6061,7.0127,asym_wifi_dom_underest,5.090719999999999,7.2574000000000005,2.9426,asym_uwb_dom_multipath,3.37408,6,7.298909840086281,1.2728295451303648,High
11,,21.75,wifi_only_uwb_dead_or_var,21.75,6.743,3.5318,soft_logvar,6.738267810261151,6.4655000000000005,9.4532,soft_logvar,9.327098974789848,12.9111,14.3974,soft_logvar,13.951302703875877,1.9361,18.3327,asym_wifi_dom_underest,13.41372,7.9674000000000005,10.4726,soft_logvar,9.038844243468331,6,7.368687690611319,4.310605406680402,Low
12,2.8267,4.829999999999999,soft_logvar,4.729717295627965,,18.3018,wifi_only_uwb_dead_or_var,18.3018,,14.773200000000001,wifi_only_uwb_dead_or_var,14.773200000000001,8.4911,8.407399999999999,soft_logvar,8.421212573882427,7.3861,11.222700000000001,soft_logvar,8.42094124832927,7.5974,10.7226,soft_logvar,10.356096140063242,6,8.439975254982652,5.093158785884577,Low
13,10.1067,3.36,asym_uwb_dom_multipath,4.03467,6.673,15.0718,asym_wifi_dom_underest,12.55216,,11.7032,wifi_only_uwb_dead_or_var,11.7032,3.1611000000000002,5.2474,soft_logvar,5.091803693305178,5.7561,8.5127,soft_logvar,5.759672528259613,,8.4726,wifi_only_uwb_dead_or_var,8.4726,6,7.658698252431654,4.1111851746678285,Low
14,10.1267,4.46,asym_uwb_dom_multipath,5.02667,7.1129999999999995,14.5618,asym_wifi_dom_underest,12.32716,,8.4832,wifi_only_uwb_dead_or_var,8.4832,2.8710999999999998,2.3974,soft_logvar,2.4374991615683874,2.9461,10.1027,asym_wifi_dom_underest,7.9557199999999995,8.4474,6.8526,soft_logvar,6.935875889484799,6,5.184794999999999,2.9217580992007948,Low
15,13.1167,3.9099999999999997,asym_uwb_dom_multipath,4.83067,5.5329999999999995,20.2718,uwb_only_wifi_dead_or_bad_var,5.5329999999999995,1.0354999999999999,15.1232,asym_wifi_dom_underest,10.89689,,8.6374,wifi_only_uwb_dead_or_var,8.6374,9.376100000000001,11.6827,soft_logvar,10.150050039603093,,13.162600000000001,wifi_only_uwb_dead_or_var,13.162600000000001,6,7.908059940595362,3.0770053558929593,Low
16,9.0067,1.1500000000000001,asym_uwb_dom_multipath,1.9356700000000002,4.683,17.3018,asym_wifi_dom_underest,13.51616,,11.8932,wifi_only_uwb_dead_or_var,11.8932,2.7611,6.1574,asym_wifi_dom_underest,5.13851,6.726100000000001,11.7627,soft_logvar,6.895048081870013,,11.6926,wifi_only_uwb_dead_or_var,11.6926,6,10.132035,4.029295904542282,Low
