gate_threshold_m,train_CV_mean_RMSE_step_B_m,kfold_splits
0.85,2.6641454677401235,3
1.03,2.656215557005437,3
1.11,2.5779367787117677,3
1.36,2.577794441499097,3
1.38,2.5709353676531728,3
1.54,2.57737205925701,3
1.64,2.617174920356837,3
1.91,2.6392262121799104,3
2.0,2.6466602560788,3
2.17,2.6938150293289387,3
2.43,2.7000340729718437,3
2.5,2.7008716850334546,3
2.7,2.7176399097145243,3
2.96,2.710818234129306,3
3.0,2.7159654868112852,3
3.22,2.7269698696666484,3
3.49,2.761508570610681,3
3.75,2.76228364268252,3
4.02,2.779979744854336,3
4.28,2.8495146875901285,3
4.54,2.8830652899406517,3
4.81,2.8930652869520994,3
5.07,2.88432875270284,3
5.33,2.9179879019394708,3
5.6,2.959113585705909,3
5.86,3.0696542651279164,3
6.13,3.045408014486376,3
6.39,3.069037369461672,3
6.65,3.0907118211728943,3
6.92,3.093432469154521,3
7.18,3.169164806654475,3
7.44,3.266838099997172,3
7.71,3.307182150859172,3
7.97,3.309664384355761,3
8.24,3.310290784445389,3
8.5,3.328643108515426,3
